gM,rbM,rI,gI,bI
8,23,1,5,3
7,15,2,5,3
7,24,1,5,3
6,23,1,5,3
8,14,2,4,4
10,26,1,5,4
8,16,2,5,4
10,28,1,5,4
8,25,1,5,3
7,21,1,5,3
6,13,2,5,3
13,25,2,5,4
7,17,2,5,3
13,29,1,5,4
14,24,2,5,4
7,14,2,4,3
8,14,2,5,4
12,28,1,5,4
16,31,2,5,4
7,20,1,5,3
11,31,1,5,4
9,20,2,5,4
8,21,2,5,3
15,38,2,6,3
16,29,2,6,4
9,23,2,5,3
12,26,1,5,4
12,24,2,5,4
7,13,2,5,4
7,15,2,5,4
10,25,2,5,3
10,25,1,5,4
10,28,1,5,3
15,34,1,5,4
6,15,2,5,3
15,30,2,5,4
14,35,2,6,3
15,30,2,6,4
17,29,2,5,4
8,12,2,4,4
9,32,1,5,3
15,22,2,5,4
5,18,1,5,3
15,35,2,5,3
9,26,1,5,4
10,23,1,5,4
9,20,1,5,4
11,18,2,5,4
8,23,1,5,4
15,26,2,5,4
15,36,1,5,4
12,34,1,5,4
11,41,1,5,3
13,27,2,5,4
13,37,1,5,4
6,12,2,5,4
12,19,2,5,4
17,32,2,5,4
12,26,2,5,4
9,15,2,5,4
12,30,2,5,3
9,18,2,5,4
8,18,2,5,4
13,26,2,5,4
8,22,1,5,4
7,12,2,5,4
16,29,2,5,4
15,35,2,6,3
7,14,2,5,4
8,26,1,5,3
7,23,1,5,3
14,37,1,5,4
13,21,2,5,4
9,14,2,5,4
8,19,1,5,4
9,21,1,5,4
10,20,2,5,4
10,22,2,5,4
15,34,2,5,3
7,18,2,5,3
7,18,1,5,4
13,34,1,5,4
16,38,2,5,3
17,30,2,5,4
10,20,1,5,4
16,35,2,6,4
9,25,1,5,4
16,30,2,5,4
9,19,2,5,4
16,30,2,6,4
17,29,2,6,4
19,28,2,5,4
18,26,2,5,4
15,32,2,6,4
11,24,1,5,4
18,27,2,5,4
18,34,2,6,4
19,33,2,6,4
19,30,2,5,4
11,24,2,5,4
12,33,1,5,4
14,41,1,5,3
12,25,2,5,4
14,39,1,5,4
16,27,2,5,4
10,17,2,5,4
14,35,1,5,4
15,42,1,5,3
6,11,2,4,3
9,14,2,4,3
4,12,1,4,3
7,10,2,4,4
13,32,1,5,4
7,14,2,5,3
10,27,1,5,3
13,35,1,5,4
15,48,1,5,3
10,16,2,5,4
14,38,1,5,4
10,26,2,5,3
9,35,1,5,3
9,14,2,4,4
15,46,1,5,3
17,33,2,5,3
14,36,1,5,4
13,30,1,5,4
12,33,1,5,3
9,37,1,5,3
10,29,1,5,4
12,31,1,5,3
10,16,2,4,3
9,27,1,4,3
8,15,2,4,3
16,46,1,5,3
10,40,1,5,3
17,37,2,5,3
10,20,2,4,3
9,34,1,5,3
16,38,1,5,4
16,30,1,5,4
14,23,2,5,4
17,50,1,5,3
16,47,1,5,3
12,27,1,4,3
11,26,1,4,3
7,15,1,4,3
9,19,2,4,3
11,21,2,5,3
15,47,1,5,3
15,55,1,5,3
11,32,1,4,3
14,39,1,5,3
10,37,1,5,3
12,32,1,4,3
10,22,1,4,3
13,35,1,5,3
15,24,2,4,3
14,36,1,4,3
6,20,1,4,3
10,28,1,4,3
12,50,1,5,3
13,27,1,4,3
13,37,1,4,3
13,27,2,4,3
14,28,2,4,3
12,23,2,4,3
14,48,1,5,3
11,42,1,5,3
14,37,1,4,3
16,48,1,5,3
16,56,1,5,3
11,25,1,4,3
13,26,1,4,3
15,40,1,5,3
14,23,2,4,3
11,35,1,4,3
15,44,1,5,3
11,17,2,4,4
14,20,2,4,4
8,23,1,4,3
7,27,1,4,3
8,20,1,4,3
7,22,1,4,3
19,36,2,5,3
20,41,2,6,4
24,50,2,6,4
21,46,2,6,4
23,40,2,5,4
21,43,2,5,3
22,46,2,5,3
9,19,1,4,3
19,38,2,5,3
13,26,1,4,4
15,49,1,5,3
13,30,1,4,3
10,41,1,5,3
8,21,1,4,3
9,13,2,4,4
12,15,2,4,4
10,18,1,4,4
11,29,1,5,3
9,31,1,4,3
7,23,1,4,3
8,31,1,5,3
17,36,2,5,3
19,35,2,5,4
19,38,2,5,4
19,42,2,6,4
19,40,2,5,4
21,31,3,5,4
24,42,3,6,4
22,43,3,7,4
26,33,4,6,4
24,39,3,6,4
21,36,3,6,4
20,48,2,6,4
19,46,2,6,4
18,38,2,5,4
6,18,1,4,3
11,15,2,4,4
8,13,2,4,3
8,22,1,5,3
15,36,2,5,3
18,41,2,5,3
19,37,2,5,4
22,45,2,6,4
21,41,2,6,4
22,41,2,6,4
22,42,2,6,4
20,33,2,6,4
17,37,2,6,4
20,40,2,6,4
16,43,1,5,3
19,37,2,5,3
11,28,2,5,3
8,17,1,5,4
11,29,2,5,3
4,13,1,4,3
7,19,1,5,4
7,18,1,5,3
8,22,2,5,3
7,19,2,5,3
7,27,1,5,3
7,15,2,4,3
6,13,2,4,3
16,35,1,5,4
14,33,1,5,4
11,32,1,5,4
15,40,1,5,4
14,28,2,5,4
17,41,2,6,4
18,39,2,6,4
19,40,2,6,4
18,35,2,5,4
17,26,2,5,4
6,20,1,5,3
6,16,2,5,3
18,33,2,5,4
18,30,2,5,4
17,38,2,6,4
20,42,2,6,4
17,33,2,6,4
12,27,1,5,4
11,23,2,5,4
6,17,2,5,3
14,29,2,5,4
15,23,2,5,4
16,22,2,5,4
14,36,2,6,3
16,26,2,5,4
10,23,2,5,4
6,21,1,5,3
6,12,2,4,3
17,39,1,5,4
15,39,2,6,3
14,32,1,5,4
18,28,2,5,4
16,27,2,6,4
17,30,2,6,4
18,29,2,5,4
16,23,2,5,4
15,31,1,5,4
6,17,1,5,3
14,38,2,6,3
12,23,2,5,3
15,37,1,5,4
15,38,1,5,4
8,16,1,4,4
7,19,1,4,3
8,18,1,5,4
17,48,1,5,3
17,35,2,5,3
17,32,2,5,3
14,38,1,5,3
17,49,1,5,3
18,37,2,5,3
16,40,1,5,4
10,15,2,4,4
22,34,2,5,4
20,34,2,5,4
10,23,1,4,3
11,23,1,4,4
16,52,1,5,3
11,48,1,5,3
18,44,1,5,4
14,37,1,5,3
14,47,1,5,3
11,23,2,4,3
17,51,1,5,3
13,28,1,4,3
14,49,1,5,3
16,55,1,5,3
14,35,1,4,3
13,48,1,5,3
12,25,1,4,3
16,53,1,5,3
17,43,1,5,3
16,59,1,5,3
8,25,1,4,3
9,28,1,4,3
21,42,2,5,3
21,48,2,6,3
21,45,2,6,4
23,39,2,5,4
20,35,2,5,4
8,33,1,5,3
10,21,2,4,3
8,17,1,4,3
12,24,1,4,3
9,18,1,4,3
11,22,1,4,3
15,37,1,5,3
11,22,1,4,4
15,36,1,5,3
9,36,1,5,3
15,35,1,5,4
15,30,1,5,4
20,39,2,5,4
17,35,2,5,4
18,36,2,5,4
21,50,2,6,4
22,39,3,6,4
21,35,3,6,4
19,34,3,6,4
17,45,2,6,3
8,14,1,4,4
8,18,1,4,3
10,16,2,4,4
18,40,2,6,4
18,37,2,6,4
17,35,2,6,4
19,32,2,5,4
18,31,2,5,4
20,33,2,5,4
19,36,2,5,4
19,37,2,6,4
16,36,1,5,4
8,22,1,4,3
6,9,2,4,4
7,15,1,5,4
16,24,2,5,4
7,20,1,4,3
17,25,2,5,4
7,20,2,5,3
10,27,2,5,3
9,24,1,5,3
7,26,1,5,3
13,34,2,5,3
13,32,2,5,3
16,36,2,6,4
20,48,2,7,4
21,42,2,6,4
7,11,2,4,4
6,15,1,5,4
15,35,2,6,4
18,34,2,5,4
16,30,2,5,3
17,27,2,5,4
17,34,2,6,4
18,35,2,6,4
18,32,2,6,4
7,9,2,4,4
16,32,2,5,4
7,20,1,5,4
11,23,1,5,4
14,37,2,6,3
14,34,2,6,3
13,28,2,5,4
13,25,2,5,3
16,43,1,6,4
12,27,2,5,4
10,21,1,5,4
15,29,2,6,4
18,25,2,5,4
7,17,1,5,4
16,37,1,5,4
15,32,1,5,4
17,40,1,5,4
17,30,1,5,4
17,36,1,5,4
14,30,1,5,4
11,20,1,4,4
19,38,1,5,4
12,32,1,5,3
18,39,2,5,3
18,35,2,5,3
8,32,1,5,3
17,44,1,5,3
18,50,1,5,3
14,51,1,5,3
17,42,1,5,3
11,17,2,4,3
11,44,1,5,3
15,26,2,4,3
19,52,1,5,3
19,58,1,5,3
20,57,1,5,3
22,47,2,5,3
12,38,1,4,3
14,38,1,4,3
8,19,1,4,3
10,32,1,4,3
14,32,1,4,3
12,24,2,4,3
15,34,1,5,3
15,57,1,5,3
17,53,1,5,3
16,57,1,5,3
10,19,1,4,4
9,18,1,4,4
12,19,2,4,3
5,13,1,4,3
10,19,1,4,3
16,32,1,5,4
10,20,1,4,4
18,40,2,5,3
18,37,2,5,4
21,42,2,5,4
17,37,2,5,4
21,40,2,5,4
20,40,2,5,4
17,39,2,5,3
20,29,2,5,4
19,29,2,5,4
23,51,2,6,4
21,53,2,7,4
22,47,2,6,4
23,40,2,6,4
21,37,2,6,4
18,36,2,6,4
15,29,1,5,4
8,13,2,4,4
6,16,1,4,3
17,31,2,6,4
19,34,2,6,4
16,34,2,6,4
22,40,2,6,4
23,48,2,6,4
23,50,2,6,4
20,37,2,6,4
18,45,2,6,3
19,48,2,6,3
16,42,2,6,3
16,31,2,6,4
15,36,2,6,3
18,46,2,6,3
5,11,2,4,3
9,21,2,5,4
14,31,2,5,4
16,31,1,5,4
7,19,1,5,3
19,39,2,5,3
16,40,2,6,3
15,35,1,5,3
18,43,1,5,4
10,22,1,4,4
20,37,2,5,4
19,44,1,5,4
15,51,1,5,3
12,17,2,4,4
16,39,1,5,3
18,53,1,5,3
15,50,1,5,3
9,40,1,5,3
11,45,1,5,3
16,44,1,5,3
7,17,1,4,3
19,40,2,5,3
21,37,2,5,4
21,36,2,5,4
22,63,1,5,3
23,48,2,5,3
12,46,1,5,3
5,17,1,4,3
9,20,2,4,3
10,24,1,5,3
12,30,1,5,3
8,30,1,4,3
11,21,1,4,4
11,46,1,5,3
15,53,1,5,3
16,51,1,5,3
11,16,2,4,4
13,49,1,5,3
17,34,2,5,4
16,33,2,5,4
16,35,2,5,4
15,21,2,5,4
10,17,2,4,4
21,47,2,6,4
24,49,2,6,4
21,51,2,7,4
23,46,2,6,4
23,45,2,6,4
19,39,2,6,4
8,17,1,4,4
7,13,1,4,4
6,15,1,4,3
9,12,2,4,4
22,46,2,6,4
24,39,2,6,5
22,33,2,6,4
17,27,2,6,4
17,40,2,6,4
17,39,2,6,4
7,16,2,5,4
14,22,2,5,4
16,39,2,6,4
19,41,2,6,4
10,15,2,5,4
13,33,2,5,3
12,31,2,5,3
8,24,1,5,4
15,43,1,6,4
16,38,2,6,4
16,36,2,5,4
10,22,1,5,4
15,31,2,6,4
8,16,1,5,4
15,33,1,5,4
15,25,1,5,4
14,30,2,5,4
16,39,1,5,4
8,19,1,5,3
18,38,1,5,4
17,38,1,5,3
19,33,2,5,4
18,41,2,6,4
21,38,2,5,4
22,40,2,5,4
16,33,1,5,4
18,47,1,5,3
11,23,1,4,3
7,16,1,4,3
13,23,1,4,4
13,20,2,4,3
13,24,1,4,4
20,40,2,5,3
23,42,2,5,4
20,43,2,6,4
22,35,2,5,4
20,31,2,5,4
23,45,2,5,3
24,36,2,5,4
21,55,1,5,3
24,52,1,5,4
14,30,1,4,3
13,40,1,4,3
12,25,2,4,3
14,36,2,5,3
19,51,1,5,3
18,52,1,5,3
8,18,2,4,3
7,14,1,4,3
15,31,2,5,4
18,33,1,5,4
21,43,2,6,4
19,43,2,6,4
20,38,2,6,4
21,40,2,6,4
22,49,2,6,4
7,28,1,5,3
21,39,2,6,4
23,49,2,6,4
21,48,2,7,4
21,47,2,7,4
21,45,2,7,4
23,37,2,6,4
20,45,1,6,4
6,22,1,5,3
20,46,2,7,4
17,32,2,6,4
18,32,2,5,4
15,37,2,6,3
16,25,1,5,4
7,11,2,5,4
5,17,1,5,3
11,17,2,5,4
19,38,2,6,4
18,42,2,6,4
15,36,2,6,4
15,39,1,5,4
15,32,1,6,4
6,10,2,4,4
17,33,1,5,4
16,42,1,5,4
17,35,1,5,4
8,21,1,5,3
9,19,1,5,4
17,38,1,5,4
9,27,1,5,4
20,39,2,6,4
24,51,2,6,4
25,49,2,6,4
11,18,2,4,4
15,37,1,4,3
17,39,1,5,3
15,27,2,4,3
20,36,2,5,4
21,31,2,5,4
22,31,2,5,4
22,43,2,5,3
12,21,1,4,4
14,26,1,4,3
18,55,1,5,3
14,27,2,4,3
8,27,1,4,3
14,31,1,4,3
15,52,1,5,3
20,42,2,5,3
18,36,2,5,3
15,23,1,5,4
20,35,1,5,4
18,34,2,5,3
11,19,2,4,4
8,13,1,4,4
10,13,2,4,4
7,21,1,4,3
16,40,1,5,3
19,36,2,6,4
16,33,2,6,4
24,51,2,7,5
22,49,2,8,5
24,49,2,7,5
22,38,2,7,5
15,28,1,5,4
6,19,1,5,3
21,46,2,7,4
21,45,2,7,5
21,46,2,7,5
24,44,2,6,5
21,47,2,7,5
15,33,2,6,4
8,15,1,5,4
16,41,2,6,3
9,18,1,5,4
18,39,1,5,4
19,53,1,6,4
22,39,2,6,4
21,35,2,6,4
20,32,2,5,4
19,34,2,5,4
25,49,2,6,5
22,47,2,7,5
23,55,2,7,5
24,56,2,7,5
25,53,2,7,5
22,48,2,7,5
20,39,2,5,3
17,56,1,5,3
19,54,1,5,3
9,25,2,5,3
12,18,2,4,4
9,17,1,4,3
17,47,1,5,3
20,60,1,5,3
19,42,2,5,3
16,39,2,5,3
14,28,1,4,3
10,33,1,4,3
13,32,1,5,3
9,39,1,5,3
19,31,2,5,4
21,44,2,5,3
6,21,1,4,3
18,37,1,5,4
19,55,1,5,3
9,15,2,4,4
10,42,1,5,3
7,16,1,5,4
8,10,2,4,4
20,50,2,7,4
22,52,2,7,4
23,51,2,7,5
21,42,2,7,5
16,37,2,6,4
9,17,2,5,3
16,38,2,6,3
13,38,1,5,4
6,27,1,5,3
11,25,2,5,4
22,47,2,8,6
22,53,2,8,5
22,54,2,8,5
24,50,2,7,5
24,42,2,6,5
6,14,1,5,4
13,27,1,5,4
8,20,1,5,3
17,34,1,5,4
9,16,1,4,4
17,41,2,6,3
5,10,2,4,3
7,30,1,5,3
16,29,1,5,4
20,48,2,6,3
19,45,1,6,4
16,42,1,5,3
25,47,2,6,5
25,55,2,7,5
23,42,3,8,6
23,53,2,8,6
21,44,3,9,6
21,32,2,5,4
16,49,1,5,3
13,33,1,5,3
11,21,1,4,3
15,21,2,4,4
14,40,1,4,3
17,46,1,5,3
12,28,1,5,3
11,28,1,5,3
12,47,1,5,3
14,19,2,4,4
13,18,2,4,4
25,48,2,6,4
22,55,1,6,4
19,45,2,6,3
19,47,1,5,3
9,11,2,4,4
7,15,1,4,4
16,41,2,6,4
20,36,2,6,4
20,35,2,6,4
7,16,1,4,4
18,43,2,6,4
21,54,2,7,4
22,55,2,8,5
21,55,2,9,6
21,54,2,9,6
21,36,2,6,4
15,28,2,6,4
8,34,1,5,3
23,41,3,8,6
20,43,3,10,7
19,42,3,11,9
18,42,3,12,9
18,57,2,12,8
21,55,2,10,7
25,48,2,7,6
24,48,2,6,4
7,24,1,4,3
13,41,1,4,3
14,39,1,4,3
15,33,1,5,3
12,40,1,4,3
16,38,1,5,3
19,48,1,5,3
20,43,1,5,4
6,17,1,4,3
9,19,1,4,4
6,19,1,4,3
21,44,2,6,4
6,13,2,5,4
6,8,2,4,4
6,10,2,4,3
21,48,2,6,4
22,55,2,7,4
24,52,2,7,5
22,52,2,8,5
23,46,2,7,5
17,44,1,6,4
15,49,1,6,3
8,11,2,4,4
9,20,1,4,4
10,21,1,4,4
20,43,2,5,3
22,45,3,7,4
22,45,3,9,6
17,44,3,13,9
15,44,3,15,10
13,45,3,17,10
14,43,3,16,11
15,43,3,15,10
18,58,2,12,8
24,54,2,8,6
22,49,2,7,5
18,41,1,5,4
15,35,1,4,3
12,19,1,4,4
13,22,1,4,4
14,29,1,4,3
17,31,1,5,4
10,21,1,4,3
8,17,2,4,3
11,19,1,4,4
10,20,1,4,3
6,11,2,4,4
9,17,1,4,4
6,8,1,4,4
16,51,1,6,3
6,11,2,5,4
4,10,2,4,3
19,50,2,6,3
16,32,2,6,4
18,33,2,6,4
5,13,2,5,3
7,31,1,5,3
15,37,2,5,3
21,51,2,6,4
23,46,3,7,4
22,47,3,9,6
15,45,3,15,10
14,45,3,16,10
16,44,3,14,9
19,58,2,11,8
23,48,2,8,6
12,26,1,4,4
22,41,2,5,4
15,36,1,4,3
16,21,2,4,4
17,45,1,5,3
10,18,1,4,3
15,54,1,5,3
7,11,2,4,3
8,23,2,5,3
5,19,1,5,3
6,18,2,5,3
6,25,1,5,3
15,34,2,6,4
14,32,2,5,4
12,35,1,5,4
12,28,2,5,4
15,39,2,6,4
18,35,1,5,4
16,26,1,5,4
22,47,3,8,5
20,47,3,10,6
18,46,3,11,7
19,47,3,11,7
20,45,3,10,7
20,44,3,10,7
24,55,2,8,6
20,51,1,5,3
8,26,1,4,3
22,42,2,5,4
21,45,2,5,3
20,46,2,6,4
23,44,2,5,4
14,52,1,5,3
11,37,1,4,3
14,36,1,5,3
9,32,1,4,3
8,15,1,4,4
18,44,2,6,3
7,17,1,5,3
17,52,1,5,3
14,28,2,6,4
7,22,2,5,3
17,36,2,6,4
13,34,2,6,3
6,13,1,5,4
15,37,2,6,4
13,20,2,5,4
16,27,1,5,4
15,56,1,6,3
18,44,2,6,4
21,37,3,6,4
23,43,3,7,5
24,45,3,7,5
24,44,3,7,5
25,53,2,6,4
11,27,1,5,3
21,49,2,6,4
23,53,2,6,4
24,54,2,6,4
23,43,2,5,4
10,35,1,4,3
9,34,1,4,3
14,28,1,4,4
13,28,1,4,4
14,30,1,4,4
13,50,1,5,3
9,38,1,5,3
16,36,1,5,3
10,15,1,4,4
17,57,1,5,3
19,47,2,6,3
16,57,1,6,3
14,51,1,6,3
6,14,1,4,3
7,29,1,5,3
17,37,1,5,4
24,41,3,6,4
22,51,2,6,4
11,24,1,4,4
22,48,2,6,4
24,52,2,6,4
23,50,2,7,5
23,53,2,7,5
24,55,2,7,5
12,22,1,4,4
11,38,1,4,2
12,42,1,4,3
10,23,1,5,3
21,52,2,7,4
21,56,2,7,4
7,11,1,4,4
8,18,1,4,4
8,15,2,5,3
6,16,1,5,4
22,53,2,7,4
22,46,2,7,5
22,44,2,6,5
14,31,1,5,4
21,34,2,5,4
19,41,1,5,4
18,56,1,5,3
19,49,2,6,3
24,41,3,7,5
23,54,2,8,6
25,43,2,6,5
11,39,1,4,3
12,39,1,4,3
14,29,1,4,4
9,16,1,5,4
8,16,1,4,3
15,32,1,5,3
19,45,2,6,4
24,53,2,6,4
24,54,2,7,5
23,58,2,8,5
22,57,2,8,5
22,58,2,8,5
22,54,2,7,4
6,18,1,5,3
5,12,1,4,3
8,35,1,5,3
21,54,2,8,5
21,52,2,8,5
22,45,2,7,5
23,44,2,6,4
7,16,1,5,3
14,42,1,6,4
25,50,2,6,4
25,44,2,6,5
22,51,2,7,4
22,50,2,6,4
24,57,2,7,5
22,46,3,9,6
19,43,3,11,8
18,45,3,12,8
18,44,3,12,8
19,46,3,11,7
21,57,2,10,7
24,48,2,8,7
21,62,1,5,3
22,44,3,8,5
21,63,2,9,5
21,62,2,9,5
21,61,2,9,5
7,12,1,4,4
16,35,1,5,3
17,41,1,5,4
23,56,2,7,4
22,40,2,7,5
6,24,1,5,3
22,57,2,7,4
25,54,2,7,5
