rI,gI,bI,rT,gT,bT,rM,gM,bM
2,6,4,92,84,75,46,,
2,6,4,84,113,129,42,,
2,6,4,58,88,111,29,,
2,6,4,86,76,65,43,,
2,6,4,100,81,61,50,,
2,5,4,61,62,62,30.5,,
2,5,4,67,57,49,33.5,,
2,6,4,89,65,46,44.5,,
2,6,4,100,75,51,50,,
2,6,4,85,82,78,42.5,,
2,6,4,89,81,71,44.5,,
2,6,4,103,82,61,51.5,,
2,6,4,110,79,51,55,,
2,6,4,72,75,76,36,,
2,6,4,76,66,57,38,,
2,6,4,56,71,85,28,,
2,6,4,52,65,76,26,,
2,6,4,106,96,82,53,,
2,6,4,121,85,48,60.5,,
2,6,4,75,65,56,37.5,,
2,6,4,60,64,67,30,,
2,6,4,44,82,112,22,,
2,6,4,65,77,85,32.5,,
2,6,4,61,67,72,30.5,,
2,6,4,64,73,79,32,,
2,6,4,69,73,74,34.5,,
2,6,4,64,84,99,32,,
2,6,4,43,67,88,21.5,,
2,6,4,82,95,103,41,,
2,6,4,81,80,77,40.5,,
2,6,4,79,69,59,39.5,,
2,6,4,96,97,94,48,,
2,6,4,70,75,78,35,,
2,6,4,88,82,74,44,,
2,6,4,93,85,75,46.5,,
2,6,4,76,76,73,38,,
2,6,4,73,69,64,36.5,,
2,6,4,80,71,63,40,,
2,6,4,79,67,56,39.5,,
2,5,4,60,62,62,30,,
2,5,4,58,62,65,29,,
2,6,4,82,75,67,41,,
2,6,4,77,89,96,38.5,,
2,6,4,100,90,78,50,,
2,6,4,97,78,60,48.5,,
2,6,4,121,100,74,60.5,,
2,6,4,93,94,91,46.5,,
2,6,4,78,84,86,39,,
2,6,4,66,76,83,33,,
2,6,4,98,97,92,49,,
2,6,4,97,88,77,48.5,,
2,6,4,90,82,73,45,,
2,6,4,83,111,127,41.5,,
2,6,4,79,98,110,39.5,,
2,6,4,66,71,74,33,,
2,6,4,114,82,52,57,,
2,6,4,105,94,81,52.5,,
2,6,4,85,82,77,42.5,,
2,6,4,88,97,100,44,,
2,6,4,62,86,104,31,,
2,6,4,83,90,93,41.5,,
2,6,4,76,77,76,38,,
2,6,4,68,89,104,34,,
2,6,4,61,74,85,30.5,,
2,6,4,61,62,61,30.5,,
2,6,4,79,65,53,39.5,,
2,6,4,108,89,69,54,,
2,6,4,124,98,67,62,,
2,6,4,119,105,88,59.5,,
2,6,4,87,101,107,43.5,,
2,6,4,84,90,93,42,,
2,6,4,91,86,78,45.5,,
2,6,4,72,83,89,36,,
2,6,4,45,82,112,22.5,,
2,6,4,68,87,101,34,,
2,6,4,87,89,86,43.5,,
2,6,4,109,100,87,54.5,,
2,6,4,128,104,73,64,,
2,6,4,93,81,67,46.5,,
2,6,4,95,79,62,47.5,,
2,6,4,90,107,115,45,,
2,6,4,112,102,88,56,,
2,6,4,114,102,86,57,,
2,6,4,110,92,72,55,,
2,6,4,124,77,35,62,,
2,6,4,94,98,98,47,,
2,6,4,95,101,101,47.5,,
2,6,4,75,101,116,37.5,,
2,6,4,93,113,124,46.5,,
2,6,4,75,91,103,37.5,,
2,6,4,101,95,86,50.5,,
2,6,5,72,100,118,36,,
2,6,5,72,98,115,36,,
2,6,4,85,82,77,42.5,,
2,6,4,76,72,67,38,,
2,6,4,85,70,57,42.5,,
2,6,4,65,67,67,32.5,,
2,6,4,94,73,54,47,,
2,6,4,83,85,85,41.5,,
2,6,4,97,82,67,48.5,,
2,6,4,120,90,59,60,,
2,6,4,87,82,76,43.5,,
2,6,4,69,66,63,34.5,,
2,6,4,74,59,48,37,,
2,5,4,61,54,47,30.5,,
2,5,4,55,54,53,27.5,,
2,5,4,53,56,60,26.5,,
2,6,4,104,92,78,52,,
2,6,4,95,70,49,47.5,,
2,6,4,86,68,52,43,,
2,6,4,84,69,55,42,,
2,6,4,63,79,90,31.5,,
2,6,4,76,80,81,38,,
2,6,4,66,84,97,33,,
2,6,4,90,81,71,45,,
2,6,4,82,75,66,41,,
2,6,4,81,88,92,40.5,,
2,6,4,75,94,106,37.5,,
2,6,4,58,66,73,29,,
2,6,4,76,73,69,38,,
2,6,4,101,85,67,50.5,,
2,6,4,86,79,70,43,,
2,5,4,53,60,67,26.5,,
2,6,4,90,88,83,45,,
2,6,4,89,90,88,44.5,,
2,6,4,110,79,51,55,,
2,6,4,84,73,62,42,,
2,6,4,72,70,66,36,,
2,6,4,59,75,87,29.5,,
2,6,4,75,90,99,37.5,,
2,6,4,88,91,91,44,,
2,6,4,61,76,89,30.5,,
2,6,4,94,83,69,47,,
2,6,4,85,89,89,42.5,,
2,6,4,96,74,53,48,,
2,6,4,96,78,60,48,,
2,6,4,55,69,81,27.5,,
2,6,4,70,84,94,35,,
2,6,4,71,103,122,35.5,,
2,6,4,70,98,115,35,,
2,6,4,90,94,94,45,,
2,6,4,65,89,106,32.5,,
2,6,4,88,100,106,44,,
2,6,4,93,102,105,46.5,,
2,6,4,82,93,100,41,,
2,6,4,97,85,72,48.5,,
2,6,4,120,86,52,60,,
2,6,4,112,80,49,56,,
2,6,4,101,91,79,50.5,,
2,6,4,93,90,84,46.5,,
2,6,4,89,83,75,44.5,,
2,6,4,66,62,58,33,,
2,6,4,89,97,100,44.5,,
2,6,4,52,65,76,26,,
2,5,4,45,61,75,22.5,,
2,6,4,86,73,60,43,,
2,6,4,117,85,53,58.5,,
2,6,4,125,98,65,62.5,,
2,6,4,113,114,110,56.5,,
2,6,4,115,103,88,57.5,,
2,6,4,113,95,74,56.5,,
2,6,4,72,86,94,36,,
2,6,4,56,80,98,28,,
2,6,4,41,80,113,20.5,,
2,6,4,67,89,105,33.5,,
2,6,4,77,85,90,38.5,,
2,6,4,70,104,124,35,,
2,6,4,101,102,98,50.5,,
2,6,4,96,96,92,48,,
2,6,4,70,93,108,35,,
2,6,4,85,110,123,42.5,,
2,6,4,58,95,121,29,,
2,6,4,74,98,112,37,,
2,6,4,84,96,102,42,,
2,6,4,98,91,82,49,,
2,6,4,70,94,110,35,,
2,6,4,70,100,119,35,,
2,6,4,68,89,104,34,,
2,6,4,79,81,81,39.5,,
2,6,4,108,100,89,54,,
2,6,4,102,85,67,51,,
2,6,5,71,88,100,35.5,,
2,6,4,89,109,120,44.5,,
2,6,4,70,72,72,35,,
2,6,4,86,77,67,43,,
2,6,4,70,67,64,35,,
2,6,4,68,64,60,34,,
2,6,4,63,80,93,31.5,,
2,6,4,60,94,118,30,,
2,6,4,74,75,75,37,,
2,5,4,54,56,58,27,,
2,6,4,68,64,60,34,,
2,5,4,74,61,50,37,,
2,6,4,79,68,58,39.5,,
2,6,4,72,71,70,36,,
2,6,4,45,63,81,22.5,,
2,6,4,60,67,73,30,,
2,6,4,67,83,95,33.5,,
2,6,4,89,78,65,44.5,,
2,6,4,73,69,65,36.5,,
2,5,4,43,49,54,21.5,,
2,6,4,63,68,72,31.5,,
2,6,4,92,100,102,46,,
2,6,4,81,81,77,40.5,,
2,6,4,59,80,95,29.5,,
2,6,4,105,111,111,52.5,,
2,6,4,101,102,99,50.5,,
2,6,4,90,103,108,45,,
2,6,4,63,89,108,31.5,,
2,6,4,93,99,101,46.5,,
2,6,4,84,92,96,42,,
2,6,4,91,83,73,45.5,,
2,6,4,70,88,100,35,,
2,6,4,71,93,107,35.5,,
2,6,4,73,91,102,36.5,,
2,6,4,94,87,78,47,,
2,6,4,106,103,97,53,,
2,6,4,103,101,95,51.5,,
2,6,4,70,85,96,35,,
2,6,4,81,87,88,40.5,,
2,6,4,80,87,89,40,,
2,6,4,68,84,96,34,,
2,6,4,74,98,113,37,,
2,6,4,78,73,67,39,,
2,6,4,74,60,48,37,,
2,6,4,72,80,85,36,,
2,6,4,50,96,127,25,,
2,6,4,26,81,127,13,,
2,6,4,75,105,122,37.5,,
2,6,4,71,89,101,35.5,,
2,6,4,102,86,68,51,,
2,6,4,107,103,95,53.5,,
2,6,4,93,80,66,46.5,,
2,6,4,105,112,113,52.5,,
2,6,4,82,87,89,41,,
2,6,4,51,76,98,25.5,,
2,6,4,79,92,100,39.5,,
2,6,4,76,67,58,38,,
2,6,4,90,73,57,45,,
2,6,4,131,87,42,65.5,,
2,6,4,124,71,26,62,,
2,6,4,108,75,44,54,,
2,6,4,96,76,56,48,,
2,6,4,99,78,58,49.5,,
2,6,4,84,81,76,42,,
2,6,4,87,87,83,43.5,,
2,6,4,87,78,68,43.5,,
2,6,4,102,98,89,51,,
2,6,4,65,85,100,32.5,,
2,6,4,97,102,102,48.5,,
2,6,4,98,90,80,49,,
2,6,4,77,97,109,38.5,,
2,6,4,55,83,105,27.5,,
2,6,4,50,68,83,25,,
2,6,4,66,94,113,33,,
2,6,4,122,112,98,61,,
2,6,4,111,117,117,55.5,,
2,6,4,120,101,78,60,,
2,6,4,61,66,69,30.5,,
2,6,4,66,81,91,33,,
2,6,4,53,92,120,26.5,,
2,6,4,50,71,88,25,,
2,6,4,76,111,130,38,,
2,6,4,92,101,105,46,,
2,6,4,68,85,97,34,,
2,6,5,47,109,145,23.5,,
2,6,5,39,103,144,19.5,,
2,6,4,72,100,118,36,,
2,6,4,81,110,126,40.5,,
2,6,4,96,106,110,48,,
2,6,4,46,81,111,23,,
2,6,4,53,80,103,26.5,,
2,6,4,86,109,123,43,,
2,6,4,97,79,60,48.5,,
2,6,4,88,92,91,44,,
2,6,4,61,88,108,30.5,,
2,5,4,40,59,78,20,,
2,6,4,36,69,101,18,,
2,6,4,48,68,86,24,,
2,6,4,64,80,92,32,,
2,6,4,62,57,53,31,,
2,6,4,57,57,58,28.5,,
2,6,4,98,84,69,49,,
2,6,4,77,63,51,38.5,,
2,6,4,84,78,71,42,,
2,6,4,74,96,111,37,,
2,6,4,72,86,96,36,,
2,6,4,89,83,75,44.5,,
2,6,4,76,69,63,38,,
2,6,4,66,62,59,33,,
2,5,4,49,55,61,24.5,,
2,6,4,64,63,62,32,,
2,6,4,80,75,69,40,,
2,6,4,85,77,68,42.5,,
2,6,4,71,68,64,35.5,,
2,6,4,88,78,66,44,,
2,6,4,68,100,119,34,,
2,6,4,60,92,114,30,,
2,6,4,68,88,103,34,,
2,6,4,85,99,106,42.5,,
2,6,4,65,92,111,32.5,,
2,6,4,75,84,89,37.5,,
2,6,4,78,93,102,39,,
2,6,4,73,92,105,36.5,,
2,6,4,78,96,108,39,,
2,6,4,72,96,112,36,,
2,6,4,97,110,115,48.5,,
2,6,4,93,104,110,46.5,,
2,6,4,79,79,78,39.5,,
2,6,4,106,79,54,53,,
2,6,4,93,82,69,46.5,,
2,6,4,78,101,114,39,,
2,6,4,62,87,105,31,,
2,6,4,78,67,56,39,,
2,6,4,99,76,53,49.5,,
2,6,4,56,64,71,28,,
2,6,4,69,75,77,34.5,,
2,6,4,66,100,122,33,,
2,6,4,68,86,99,34,,
2,6,4,94,95,92,47,,
2,6,4,110,86,61,55,,
2,6,4,97,92,85,48.5,,
2,6,4,109,81,55,54.5,,
2,6,4,105,95,81,52.5,,
2,6,4,74,80,82,37,,
2,6,4,70,79,85,35,,
2,6,4,89,94,96,44.5,,
2,6,4,84,101,111,42,,
2,6,4,84,106,118,42,,
2,6,4,106,79,52,53,,
2,6,4,117,75,37,58.5,,
2,6,4,121,84,47,60.5,,
2,6,4,101,81,60,50.5,,
2,6,4,86,86,82,43,,
2,6,4,68,67,65,34,,
2,6,4,72,72,70,36,,
2,6,4,62,77,89,31,,
2,6,4,65,70,74,32.5,,
2,6,4,53,81,103,26.5,,
2,6,4,74,89,99,37,,
2,6,4,113,112,107,56.5,,
2,6,4,104,112,113,52,,
2,6,4,46,81,110,23,,
2,6,4,98,102,100,49,,
2,6,4,67,82,93,33.5,,
2,6,4,72,98,114,36,,
2,6,4,122,111,93,61,,
2,6,4,98,104,104,49,,
2,6,4,73,84,91,36.5,,
2,6,4,38,80,114,19,,
2,5,4,43,62,79,21.5,,
2,6,4,70,77,81,35,,
2,6,4,102,100,95,51,,
2,6,4,97,101,102,48.5,,
2,6,4,65,105,129,32.5,,
2,6,5,39,110,151,19.5,,
2,6,5,47,113,150,23.5,,
2,6,4,80,118,138,40,,
2,6,4,104,111,113,52,,
2,6,4,92,106,113,46,,
2,6,4,88,92,92,44,,
2,6,4,90,89,86,45,,
2,6,4,109,97,82,54.5,,
2,5,4,61,51,43,30.5,,
2,6,4,96,87,76,48,,
2,6,4,74,69,63,37,,
2,6,4,43,70,94,21.5,,
2,6,4,41,77,109,20.5,,
2,6,4,64,81,95,32,,
2,6,4,86,102,111,43,,
2,6,4,103,97,89,51.5,,
2,6,4,110,85,60,55,,
2,6,4,100,72,48,50,,
2,6,4,75,73,71,37.5,,
2,6,4,89,66,47,44.5,,
2,6,4,97,87,76,48.5,,
2,6,4,79,105,121,39.5,,
2,6,4,79,90,97,39.5,,
2,6,4,69,67,64,34.5,,
2,6,4,66,58,51,33,,
2,6,4,49,65,79,24.5,,
2,5,4,54,58,61,27,,
2,6,4,76,80,81,38,,
2,6,4,83,68,54,41.5,,
2,6,4,103,82,61,51.5,,
2,6,4,99,94,86,49.5,,
2,6,4,81,101,113,40.5,,
2,6,4,70,99,117,35,,
2,6,4,48,68,86,24,,
2,6,4,64,84,99,32,,
2,6,4,74,91,102,37,,
2,6,4,76,87,94,38,,
2,6,4,69,86,99,34.5,,
2,6,4,70,86,98,35,,
2,6,4,78,91,100,39,,
2,6,4,74,114,136,37,,
2,6,4,52,83,107,26,,
2,6,4,74,102,119,37,,
2,6,4,76,87,93,38,,
2,6,4,66,70,72,33,,
2,6,4,68,67,65,34,,
2,6,4,76,91,100,38,,
2,6,4,102,73,47,51,,
2,6,4,83,68,55,41.5,,
2,6,4,113,77,44,56.5,,
2,6,4,110,94,75,55,,
2,6,4,101,94,84,50.5,,
2,6,4,92,84,74,46,,
2,6,4,110,88,65,55,,
2,6,4,97,85,72,48.5,,
2,6,4,72,88,98,36,,
2,6,4,76,82,86,38,,
2,6,4,68,87,100,34,,
2,6,4,74,89,99,37,,
2,6,4,87,103,112,43.5,,
2,5,4,59,61,62,29.5,,
2,6,4,43,78,108,21.5,,
2,6,4,72,100,117,36,,
2,6,4,73,81,86,36.5,,
2,6,4,90,94,94,45,,
2,6,4,81,77,70,40.5,,
2,6,4,81,70,59,40.5,,
2,6,4,87,80,71,43.5,,
2,6,4,83,77,69,41.5,,
2,5,4,56,53,50,28,,
2,6,4,67,86,100,33.5,,
2,6,4,79,103,118,39.5,,
2,6,4,78,90,98,39,,
2,6,4,88,75,62,44,,
2,6,4,111,83,56,55.5,,
2,6,4,87,85,80,43.5,,
2,6,4,77,85,89,38.5,,
2,6,4,64,82,96,32,,
2,6,4,96,77,59,48,,
2,6,4,90,79,67,45,,
2,6,4,84,113,129,42,,
2,6,4,125,97,65,62.5,,
2,6,4,95,91,83,47.5,,
2,6,4,94,105,108,47,,
2,6,4,97,91,82,48.5,,
2,6,4,87,74,60,43.5,,
2,6,4,105,89,70,52.5,,
2,6,4,89,101,106,44.5,,
2,6,4,91,117,131,45.5,,
2,6,4,88,87,83,44,,
2,6,4,85,108,120,42.5,,
2,6,4,65,98,119,32.5,,
2,6,4,78,109,127,39,,
2,6,4,97,113,121,48.5,,
2,6,4,90,95,96,45,,
2,6,4,80,73,65,40,,
2,6,4,106,86,64,53,,
2,6,4,127,113,94,63.5,,
2,6,4,61,64,66,30.5,,
2,6,4,64,63,62,32,,
2,6,4,83,84,82,41.5,,
2,5,4,54,57,60,27,,
2,5,4,37,40,43,18.5,,
2,6,4,76,69,63,38,,
2,6,4,63,67,70,31.5,,
2,6,4,80,81,80,40,,
2,6,4,120,111,97,60,,
2,6,4,68,80,89,34,,
2,6,4,62,86,105,31,,
2,6,4,87,88,86,43.5,,
2,6,4,88,75,62,44,,
2,6,4,52,63,73,26,,
2,6,4,60,84,102,30,,
2,6,4,78,92,100,39,,
2,6,4,86,90,91,43,,
2,6,4,68,69,69,34,,
2,6,4,66,68,69,33,,
2,6,4,72,70,67,36,,
2,5,4,67,59,52,33.5,,
2,6,4,99,78,57,49.5,,
2,6,4,91,81,68,45.5,,
2,6,4,80,86,87,40,,
2,6,4,82,103,115,41,,
2,6,4,84,85,83,42,,
2,6,4,108,101,91,54,,
2,6,4,86,100,108,43,,
2,6,4,83,94,101,41.5,,
2,6,4,86,85,82,43,,
2,6,4,110,82,56,55,,
2,6,4,106,90,73,53,,
2,6,4,86,103,113,43,,
2,6,4,103,107,105,51.5,,
2,6,4,111,99,85,55.5,,
2,6,4,85,75,63,42.5,,
2,6,4,65,69,71,32.5,,
2,6,4,54,67,79,27,,
2,6,4,79,79,77,39.5,,
2,6,4,84,71,59,42,,
2,6,4,120,87,54,60,,
2,6,4,102,78,53,51,,
2,6,4,117,99,77,58.5,,
2,6,4,109,103,93,54.5,,
2,6,4,104,78,53,52,,
2,6,4,119,105,87,59.5,,
2,6,4,99,92,82,49.5,,
2,6,4,70,85,95,35,,
2,6,4,71,98,114,35.5,,
2,6,4,36,93,134,18,,
2,6,4,44,76,103,22,,
2,6,4,46,72,97,23,,
2,6,4,64,83,97,32,,
2,6,4,86,85,82,43,,
2,6,4,94,89,82,47,,
2,6,4,73,76,77,36.5,,
2,6,4,65,79,89,32.5,,
2,6,4,62,88,108,31,,
2,6,4,69,94,111,34.5,,
2,6,4,62,73,81,31,,
2,6,4,86,74,61,43,,
2,6,4,108,87,64,54,,
2,6,4,65,94,114,32.5,,
2,6,4,93,104,108,46.5,,
2,6,4,99,93,83,49.5,,
2,6,4,97,84,69,48.5,,
2,6,4,104,84,65,52,,
2,6,4,83,88,90,41.5,,
2,6,4,67,92,109,33.5,,
2,6,4,75,100,115,37.5,,
2,6,4,82,86,87,41,,
2,6,4,76,66,56,38,,
2,6,4,89,90,87,44.5,,
2,6,4,96,91,82,48,,
2,6,4,105,92,77,52.5,,
2,6,4,80,73,66,40,,
2,6,4,96,83,69,48,,
2,6,4,90,88,83,45,,
2,6,4,99,101,98,49.5,,
2,6,5,100,117,124,50,,
2,6,4,92,119,132,46,,
2,6,4,102,110,112,51,,
2,6,4,103,105,104,51.5,,
2,6,4,87,98,104,43.5,,
2,6,4,66,82,94,33,,
2,6,4,86,90,92,43,,
2,6,4,80,74,67,40,,
2,6,4,75,73,70,37.5,,
2,6,4,95,98,97,47.5,,
2,6,4,87,106,117,43.5,,
2,6,4,61,70,77,30.5,,
2,6,4,52,66,78,26,,
2,6,4,59,89,111,29.5,,
2,6,4,63,65,66,31.5,,
2,6,4,64,76,85,32,,
2,6,4,89,73,58,44.5,,
2,5,4,80,54,34,40,,
2,5,4,67,58,49,33.5,,
2,6,4,71,70,68,35.5,,
2,6,4,67,74,79,33.5,,
2,6,4,72,100,118,36,,
2,6,4,81,90,96,40.5,,
2,6,4,75,92,104,37.5,,
2,6,4,62,77,89,31,,
2,6,4,40,83,118,20,,
2,6,4,61,92,115,30.5,,
2,6,4,90,91,88,45,,
2,6,4,91,88,83,45.5,,
2,6,4,76,90,100,38,,
2,6,4,77,87,92,38.5,,
2,6,4,75,82,86,37.5,,
2,6,4,71,62,54,35.5,,
2,6,4,115,74,37,57.5,,
2,6,4,122,101,74,61,,
2,6,4,102,100,95,51,,
2,6,4,105,87,67,52.5,,
2,6,4,110,92,71,55,,
2,6,4,108,103,95,54,,
2,6,4,71,71,70,35.5,,
2,5,4,77,59,45,38.5,,
2,6,4,100,73,48,50,,
2,6,4,79,93,102,39.5,,
2,6,4,102,89,75,51,,
2,6,4,124,98,68,62,,
2,6,4,128,102,70,64,,
2,6,4,81,69,57,40.5,,
2,6,4,71,69,67,35.5,,
2,6,4,76,69,62,38,,
2,6,4,88,86,82,44,,
2,6,4,104,89,72,52,,
2,6,4,119,87,53,59.5,,
2,6,4,108,93,75,54,,
2,6,4,89,94,95,44.5,,
2,6,4,66,78,86,33,,
2,6,4,106,91,73,53,,
2,6,4,87,92,93,43.5,,
2,6,4,58,86,107,29,,
2,6,4,56,87,110,28,,
2,6,4,21,84,134,10.5,,
2,6,4,38,107,149,19,,
2,5,4,34,59,83,17,,
2,6,4,44,68,91,22,,
2,6,4,49,75,97,24.5,,
2,6,4,111,97,80,55.5,,
2,6,4,86,97,103,43,,
2,6,4,95,90,83,47.5,,
2,6,4,80,77,73,40,,
2,6,4,62,87,105,31,,
2,6,4,92,88,82,46,,
2,6,4,69,72,74,34.5,,
2,6,4,73,69,65,36.5,,
2,6,4,79,82,82,39.5,,
2,6,4,69,80,89,34.5,,
2,6,4,95,103,105,47.5,,
2,6,4,79,91,98,39.5,,
2,6,4,85,77,69,42.5,,
2,6,4,106,100,91,53,,
2,6,4,92,98,100,46,,
2,6,4,80,109,125,40,,
2,6,4,100,108,110,50,,
2,6,4,76,95,106,38,,
2,6,4,86,99,105,43,,
2,6,4,74,71,66,37,,
2,6,4,69,87,99,34.5,,
2,6,4,96,94,89,48,,
2,6,4,110,100,87,55,,
2,6,4,84,97,103,42,,
2,6,4,111,108,101,55.5,,
2,6,4,91,88,81,45.5,,
2,6,4,72,94,109,36,,
2,6,4,87,109,120,43.5,,
2,6,4,110,102,92,55,,
2,6,4,133,117,96,66.5,,
2,6,4,94,101,104,47,,
2,6,4,85,99,107,42.5,,
2,6,4,84,103,114,42,,
2,6,4,100,98,93,50,,
2,6,4,73,91,103,36.5,,
2,6,4,103,104,101,51.5,,
2,6,4,95,117,128,47.5,,
2,6,4,58,63,68,29,,
2,6,4,48,84,113,24,,
2,6,4,63,83,99,31.5,,
2,6,4,61,78,91,30.5,,
2,6,4,82,86,87,41,,
2,6,4,72,71,68,36,,
2,6,4,96,78,60,48,,
2,6,4,76,62,50,38,,
2,6,4,69,74,77,34.5,,
2,6,4,72,83,90,36,,
2,6,4,69,89,103,34.5,,
2,6,4,79,85,89,39.5,,
2,6,4,68,88,103,34,,
2,6,4,54,65,75,27,,
2,6,4,55,87,112,27.5,,
2,6,4,73,81,86,36.5,,
2,6,4,93,84,73,46.5,,
2,6,4,93,84,74,46.5,,
2,6,4,94,85,73,47,,
2,6,4,81,92,98,40.5,,
2,6,4,59,75,88,29.5,,
2,6,4,108,88,66,54,,
2,6,4,113,78,46,56.5,,
2,6,4,89,77,64,44.5,,
2,6,4,97,94,86,48.5,,
2,6,4,103,80,58,51.5,,
2,6,4,87,74,60,43.5,,
2,6,4,67,76,83,33.5,,
2,5,4,46,56,67,23,,
2,6,4,69,69,69,34.5,,
2,6,4,73,70,67,36.5,,
2,6,4,77,85,89,38.5,,
2,6,4,100,97,91,50,,
2,6,4,82,88,90,41,,
2,6,4,98,100,97,49,,
2,6,4,76,85,90,38,,
2,6,4,99,80,61,49.5,,
2,6,4,93,84,73,46.5,,
2,6,4,113,99,81,56.5,,
2,6,4,120,91,60,60,,
2,6,4,135,102,63,67.5,,
2,6,4,109,81,54,54.5,,
2,6,4,75,82,87,37.5,,
2,6,4,51,95,125,25.5,,
2,6,4,91,102,107,45.5,,
2,6,4,99,113,119,49.5,,
2,6,4,60,87,107,30,,
2,6,4,71,87,99,35.5,,
2,6,4,60,81,98,30,,
2,6,4,70,85,95,35,,
2,6,4,77,75,72,38.5,,
2,6,4,58,83,102,29,,
2,6,4,64,83,96,32,,
2,6,4,99,83,66,49.5,,
2,6,4,113,96,76,56.5,,
2,6,4,87,92,92,43.5,,
2,6,4,82,85,87,41,,
2,6,4,78,93,102,39,,
2,6,4,104,100,92,52,,
2,6,4,58,78,94,29,,
2,6,4,50,90,120,25,,
2,6,4,92,103,108,46,,
2,6,4,79,95,103,39.5,,
2,6,4,84,86,85,42,,
2,6,4,54,78,99,27,,
2,6,4,69,66,62,34.5,,
2,6,4,89,84,78,44.5,,
2,6,4,115,108,96,57.5,,
2,6,4,101,103,101,50.5,,
2,6,4,63,92,113,31.5,,
2,6,4,77,88,96,38.5,,
2,6,4,73,88,98,36.5,,
2,6,4,70,87,99,35,,
2,6,4,44,83,114,22,,
2,6,4,62,98,122,31,,
2,6,4,100,104,103,50,,
2,6,4,82,96,104,41,,
2,6,4,88,115,130,44,,
2,6,5,81,109,125,40.5,,
2,6,4,62,81,96,31,,
2,6,4,84,90,91,42,,
2,6,4,55,102,131,27.5,,
2,6,5,92,120,135,46,,
2,6,5,63,94,116,31.5,,
2,6,4,103,108,108,51.5,,
2,6,4,91,107,115,45.5,,
2,6,4,63,78,89,31.5,,
2,6,4,101,94,85,50.5,,
2,6,4,97,87,76,48.5,,
2,6,4,94,115,126,47,,
2,6,4,60,73,82,30,,
2,6,4,68,87,101,34,,
2,6,4,81,88,91,40.5,,
2,6,4,68,61,54,34,,
2,6,4,96,81,66,48,,
2,6,4,91,81,70,45.5,,
2,6,4,93,67,45,46.5,,
2,6,4,68,63,60,34,,
2,6,4,65,73,78,32.5,,
2,6,4,78,79,78,39,,
2,6,4,62,73,81,31,,
2,6,4,65,84,98,32.5,,
2,6,4,46,77,103,23,,
2,6,4,58,88,110,29,,
2,6,4,63,61,59,31.5,,
2,6,4,103,75,49,51.5,,
2,6,4,92,74,56,46,,
2,6,4,91,82,71,45.5,,
2,5,4,61,59,57,30.5,,
2,6,4,70,70,70,35,,
2,6,4,96,92,86,48,,
2,6,4,100,84,68,50,,
2,6,4,106,80,55,53,,
2,6,4,114,80,48,57,,
2,6,4,89,78,66,44.5,,
2,5,4,76,64,52,38,,
2,6,4,89,74,58,44.5,,
2,6,4,55,80,101,27.5,,
2,6,4,59,76,91,29.5,,
2,6,4,62,84,101,31,,
2,5,4,56,57,57,28,,
2,6,4,63,65,66,31.5,,
2,6,4,72,95,109,36,,
2,6,4,90,104,111,45,,
2,6,4,80,102,114,40,,
2,6,4,79,72,65,39.5,,
2,6,4,110,89,67,55,,
2,6,4,136,105,67,68,,
2,6,4,105,82,58,52.5,,
2,6,4,95,87,76,47.5,,
2,6,4,113,99,82,56.5,,
2,6,4,100,89,77,50,,
2,6,4,74,96,111,37,,
2,6,5,39,95,134,19.5,,
2,6,4,81,104,118,40.5,,
2,6,4,109,101,90,54.5,,
2,6,4,74,103,120,37,,
2,6,4,105,109,107,52.5,,
2,6,4,87,99,104,43.5,,
2,6,4,98,78,59,49,,
2,6,4,110,78,49,55,,
2,6,4,102,86,68,51,,
2,6,4,74,71,68,37,,
2,6,4,76,87,94,38,,
2,6,4,86,85,83,43,,
2,6,4,90,97,101,45,,
2,6,4,103,99,93,51.5,,
2,6,4,96,98,96,48,,
2,6,4,112,99,84,56,,
2,6,4,68,75,80,34,,
2,6,4,82,83,82,41,,
2,6,4,68,86,99,34,,
2,6,4,105,84,63,52.5,,
2,6,4,106,74,44,53,,
2,6,4,66,83,96,33,,
2,6,4,63,78,89,31.5,,
2,6,4,93,93,90,46.5,,
2,6,4,131,113,89,65.5,,
2,6,4,117,108,95,58.5,,
2,6,4,88,78,67,44,,
2,6,4,102,88,71,51,,
2,6,4,83,107,119,41.5,,
2,6,4,91,102,107,45.5,,
2,6,4,71,101,119,35.5,,
2,6,4,99,107,110,49.5,,
2,6,4,115,110,101,57.5,,
2,6,4,68,92,108,34,,
2,6,4,130,119,102,65,,
2,6,5,98,113,120,49,,
2,6,4,99,92,82,49.5,,
2,6,4,79,93,101,39.5,,
2,6,4,95,106,110,47.5,,
2,6,4,78,113,132,39,,
2,6,4,77,101,116,38.5,,
2,6,5,82,114,132,41,,
2,6,4,107,111,109,53.5,,
2,6,4,90,82,73,45,,
2,6,4,94,84,73,47,,
2,6,4,99,103,102,49.5,,
2,6,4,88,91,90,44,,
2,6,4,59,67,73,29.5,,
2,6,4,94,79,62,47,,
2,6,4,74,78,79,37,,
2,6,4,78,68,58,39,,
2,6,4,77,74,68,38.5,,
2,6,4,83,92,96,41.5,,
2,6,4,74,80,82,37,,
2,6,4,78,77,75,39,,
2,6,4,71,80,86,35.5,,
2,6,4,60,69,77,30,,
2,6,4,62,65,67,31,,
2,6,4,95,77,60,47.5,,
