gM,rbM,rI,gI,bI
3,4,44,62,53
4,4,51,61,58
3,4,62,63,60
3,3,55,80,73
4,4,52,62,59
4,5,51,56,40
2,3,64,99,82
4,4,61,59,57
1,2,84,143,130
4,3,52,60,79
3,3,68,81,70
5,6,33,44,40
5,4,40,43,61
3,3,77,76,80
4,3,56,52,67
6,5,42,38,39
2,2,97,120,111
5,5,34,43,47
2,1,85,110,128
2,2,102,110,107
2,2,96,108,105
2,3,57,90,85
4,5,36,49,50
5,3,50,43,68
4,4,53,62,61
4,3,69,49,72
4,3,55,50,77
2,1,121,108,149
2,2,118,86,118
7,6,34,33,38
4,4,51,59,58
7,4,49,33,43
4,5,46,50,48
5,4,51,46,48
4,4,54,52,54
7,4,41,31,74
5,2,62,46,92
2,2,74,89,87
5,2,73,44,108
2,3,77,86,79
5,3,70,45,62
5,5,47,46,47
4,4,53,53,50
2,2,91,89,126
5,5,37,44,52
2,2,95,114,99
1,2,117,131,122
2,2,105,121,114
3,3,66,81,75
3,3,79,81,74
5,5,46,43,43
2,2,95,112,102
7,6,29,33,36
5,3,71,44,63
4,5,39,51,46
2,2,121,87,119
5,5,46,46,49
6,6,32,39,42
2,2,85,97,91
2,1,119,117,140
4,4,59,54,58
3,3,65,64,61
2,2,103,126,116
2,2,94,107,94
4,4,41,51,55
7,4,44,31,60
4,5,48,55,40
1,1,116,141,142
2,2,92,109,96
4,5,42,59,49
2,2,112,126,122
7,5,39,31,42
3,3,70,73,70
2,2,84,98,95
2,2,107,118,112
2,1,102,118,133
1,1,122,148,152
4,5,45,53,45
4,5,41,50,36
2,2,88,111,105
7,5,35,31,42
3,2,81,67,116
8,6,32,28,41
8,6,33,27,36
4,4,54,52,52
1,2,101,129,116
2,2,111,124,119
3,2,73,65,101
4,4,48,51,50
7,6,33,31,44
7,5,32,29,57
5,6,34,40,37
5,5,39,48,55
3,3,81,83,83
6,5,43,39,42
4,4,50,50,47
2,2,98,121,113
2,2,96,113,108
3,2,76,75,102
5,6,37,46,37
2,2,82,98,89
7,6,35,33,35
2,2,84,99,91
2,2,85,96,91
3,3,50,63,66
4,3,61,50,90
6,6,32,35,43
3,4,46,70,69
2,3,73,92,83
2,2,88,102,97
2,2,85,88,91
2,3,71,89,83
4,5,39,49,46
2,3,75,87,79
3,3,55,74,63
3,4,48,69,63
5,3,54,46,80
3,4,50,65,54
4,3,58,57,83
2,2,101,106,107
5,4,53,49,60
2,2,97,117,108
2,2,82,93,88
5,6,37,41,40
2,1,121,122,140
5,3,55,45,78
8,5,39,28,49
1,1,121,146,150
5,4,42,43,53
2,2,92,105,102
2,2,63,99,94
3,3,58,69,75
1,2,88,134,98
5,5,44,43,44
4,4,42,60,52
7,5,42,31,46
2,3,82,93,80
4,5,40,52,50
2,2,96,118,113
2,2,87,103,98
3,2,62,72,90
6,5,44,36,46
3,3,57,68,63
2,2,100,116,103
1,1,107,140,131
5,3,51,43,76
6,6,33,38,36
3,3,52,78,74
1,2,113,131,122
5,5,36,46,41
4,5,44,50,49
2,3,73,87,81
4,4,52,61,59
3,4,55,65,59
2,2,91,104,92
6,6,35,38,38
8,6,36,25,33
7,6,35,30,36
2,2,95,119,112
4,4,41,60,62
1,2,111,140,113
2,2,88,107,100
1,2,85,132,107
1,1,112,136,140
3,2,89,77,91
1,1,115,144,130
2,2,84,95,90
2,3,77,84,81
2,2,94,122,113
2,3,55,86,77
4,5,38,50,49
2,2,89,85,99
3,4,51,64,61
4,4,42,53,51
2,2,101,110,109
2,2,89,103,98
3,3,71,76,73
3,3,56,66,64
3,4,56,65,60
2,3,81,90,82
3,4,48,75,65
1,2,104,128,119
7,6,34,32,31
2,2,98,115,108
3,4,49,72,69
5,5,45,45,45
8,5,33,27,54
4,4,44,56,52
2,1,111,126,146
6,6,29,37,35
5,4,49,46,50
2,1,127,113,139
3,3,75,81,75
6,3,41,39,84
5,5,34,44,41
2,1,121,107,135
3,3,73,76,72
5,5,46,45,44
6,4,43,36,51
6,5,37,38,45
4,4,51,53,55
1,2,105,139,123
4,4,43,58,55
1,1,128,149,142
1,1,121,133,141
4,3,70,59,73
3,3,63,65,53
5,6,33,47,42
4,4,53,52,53
6,6,36,34,35
2,2,95,88,101
2,2,104,84,107
