gM,rbM,rI,gI,bI
22,36,2,5,4
20,30,4,7,5
9,28,5,25,18
22,42,1,6,4
18,18,2,5,5
19,44,3,11,8
18,25,7,12,10
13,23,2,4,3
13,45,3,17,10
10,35,1,5,3
18,45,2,7,4
23,18,9,9,5
9,26,2,5,3
7,19,10,31,14
18,27,2,5,5
17,39,2,5,4
15,30,7,14,7
13,44,1,5,3
13,24,1,4,3
22,38,4,8,5
17,37,5,12,6
11,16,2,5,4
14,35,1,6,4
17,44,3,13,9
11,18,15,20,10
16,25,1,6,4
15,38,1,5,4
10,21,9,22,13
7,13,14,33,21
20,30,2,6,5
18,22,12,12,6
7,23,7,31,16
23,24,3,9,11
9,20,1,4,4
9,20,9,24,15
19,28,7,11,7
22,44,1,5,4
11,31,5,21,12
23,31,2,7,6
14,33,5,16,9
7,21,8,34,17
7,12,14,31,28
19,37,4,11,8
15,29,8,14,6
18,23,11,12,6
8,11,17,30,26
23,40,3,8,6
21,42,3,8,5
20,39,3,8,6
6,13,15,36,19
7,14,15,32,18
7,18,2,4,3
16,36,4,14,10
12,21,1,5,4
19,26,8,11,6
11,21,11,21,10
24,29,5,7,7
7,14,14,33,18
6,12,17,38,20
11,26,1,5,3
15,20,11,15,10
23,31,7,9,5
11,17,2,4,3
22,38,3,6,4
10,24,9,22,10
22,19,2,7,6
17,40,1,6,4
6,13,16,35,18
10,26,1,5,4
20,42,2,6,5
19,41,2,7,5
20,30,2,5,4
18,45,2,6,4
20,30,4,7,4
20,34,3,6,4
24,43,3,8,6
16,40,2,6,3
23,23,4,9,11
11,24,7,21,13
6,16,11,37,19
17,27,7,12,8
21,33,2,5,4
11,21,10,21,11
23,32,2,7,6
15,23,7,15,13
13,26,7,17,11
5,16,9,49,37
12,33,1,5,3
17,36,5,12,7
21,33,1,5,4
11,28,1,6,4
18,41,2,6,3
10,17,14,22,12
20,43,2,6,5
21,39,2,7,5
21,45,2,6,5
23,21,2,7,7
11,25,2,5,4
22,45,2,5,4
6,20,7,38,28
18,37,4,11,7
17,43,2,6,4
14,24,1,4,4
11,17,14,20,12
8,26,7,27,12
15,28,6,15,10
16,20,7,14,18
19,28,1,5,4
20,32,3,6,5
10,33,4,22,17
5,14,2,5,4
22,41,3,7,5
19,29,7,11,6
20,23,5,11,15
10,16,11,23,17
6,21,8,36,18
13,35,4,17,12
11,22,2,5,4
9,28,6,24,12
8,24,6,29,21
14,22,2,6,5
14,34,2,5,3
15,25,10,15,7
10,25,6,22,16
15,46,3,14,8
21,39,2,5,4
6,19,9,36,18
16,33,1,6,4
21,18,2,6,6
17,23,11,13,7
22,31,4,7,5
14,16,2,6,5
8,22,1,5,3
12,31,2,6,4
7,19,10,31,15
9,26,6,25,15
20,35,2,6,5
20,31,2,6,4
7,19,2,4,3
