rI,gI,bI,rT,gT,bT
14,14,14,35,45,44
14,14,14,25,38,40
14,14,14,42,48,43
14,14,14,41,44,36
14,14,14,43,49,44
14,14,14,24,34,46
14,14,14,24,39,42
13,14,14,14,33,41
13,14,14,16,32,41
14,14,14,35,29,42
14,14,14,40,40,37
14,14,14,56,35,43
14,14,14,46,30,47
14,14,14,46,29,39
13,14,14,23,45,55
13,14,14,12,40,54
