gM,rbM,rI,gI,bI
2,1,83,84,124
3,2,55,46,95
3,2,32,27,62
3,3,21,20,38
2,2,17,17,23
2,2,18,17,18
3,3,20,20,22
3,3,23,24,26
3,3,26,30,30
3,3,30,36,35
3,3,34,44,40
3,3,38,51,44
2,3,43,58,46
2,3,46,58,44
3,3,43,50,39
3,3,35,34,31
3,3,25,22,24
2,3,20,18,22
3,3,28,22,34
3,2,44,35,61
2,2,70,66,98
1,1,100,117,132
1,1,121,148,151
1,1,132,157,159
1,1,136,159,161
1,1,136,160,161
1,1,130,154,158
1,1,110,126,145
2,1,76,73,115
3,2,43,35,76
3,3,25,22,45
2,2,18,17,27
2,3,19,18,20
3,3,21,21,24
3,3,24,27,28
3,3,27,33,32
3,3,30,38,36
3,3,34,44,41
3,3,38,52,46
2,3,42,58,48
2,3,44,60,46
3,3,42,51,40
3,3,35,36,32
3,3,26,23,25
2,3,23,18,24
3,3,36,26,46
3,2,60,48,84
2,1,92,99,126
1,1,120,148,152
1,1,134,160,161
1,1,137,162,164
1,1,138,162,164
1,1,137,160,162
1,1,124,144,152
2,1,89,89,122
3,2,50,40,82
3,3,28,24,49
2,3,19,18,29
3,3,22,22,24
3,3,25,28,29
3,3,27,34,32
3,3,29,37,35
3,3,32,41,40
3,3,35,47,44
3,3,38,51,45
3,3,39,50,43
3,3,37,42,37
3,3,31,31,30
3,3,24,21,23
3,3,26,19,27
3,3,44,30,56
2,2,73,64,102
1,1,107,124,141
1,1,130,156,160
1,1,138,161,164
1,1,126,147,152
2,1,91,92,121
3,2,51,41,80
3,3,29,24,48
3,3,24,28,28
3,3,26,33,31
3,3,28,36,34
3,3,30,38,37
3,3,32,42,39
3,3,34,43,40
3,3,34,41,37
3,3,31,32,32
2,3,21,18,21
2,3,20,16,19
3,3,29,20,29
3,2,49,33,62
2,1,82,73,111
1,1,114,134,148
1,1,133,159,162
1,1,134,159,160
1,1,118,138,144
2,1,81,79,111
3,2,46,37,71
3,3,27,22,43
2,3,19,18,27
3,3,21,20,23
3,3,23,25,27
3,3,25,30,30
3,3,26,34,32
3,3,29,36,34
3,3,29,31,31
3,3,26,26,27
3,3,22,20,22
3,2,50,34,61
2,1,83,70,109
1,1,115,129,147
1,1,133,158,162
1,1,135,161,163
1,1,125,154,154
1,1,101,118,130
2,2,66,59,94
3,2,37,29,59
3,3,23,20,36
2,2,18,17,24
3,3,22,21,24
3,3,25,29,30
3,3,26,29,29
3,3,25,27,28
3,3,28,20,27
3,3,47,30,53
2,2,76,60,95
2,1,107,108,136
1,1,128,148,157
1,1,135,159,163
1,1,135,160,163
1,1,132,158,162
1,1,125,153,157
1,1,107,131,141
2,1,78,82,109
3,2,49,42,74
3,3,30,25,46
2,3,20,18,29
2,3,19,18,21
3,3,21,19,23
3,3,22,22,25
3,3,21,21,23
2,3,26,18,23
3,3,40,25,40
3,2,63,41,71
2,1,89,74,109
1,1,111,113,137
1,1,122,139,150
1,1,122,143,153
1,1,116,138,149
1,1,102,116,136
2,1,80,82,113
3,2,55,51,82
3,3,36,31,55
3,3,24,21,35
2,2,18,17,23
3,3,31,20,28
3,3,46,27,46
3,2,64,41,72
2,2,83,63,99
2,1,92,82,115
2,1,93,87,120
2,1,85,77,113
2,2,71,61,97
3,2,53,43,77
3,3,37,31,55
3,3,26,23,38
2,3,19,18,26
2,3,24,17,21
3,3,32,20,29
3,3,42,25,42
3,3,52,32,57
3,2,58,38,69
3,2,59,40,73
