,gM,rbM,rI,gI,bI
2948,8,25,6,27,16
2949,10,31,5,23,13
2950,18,33,3,6,3
2951,10,18,2,4,4
2952,11,32,5,21,12
2953,21,38,1,5,4
2954,22,41,4,9,6
2955,20,33,5,10,7
2956,10,42,1,6,3
2957,21,31,3,5,3
2958,24,41,4,7,4
2959,11,27,2,6,4
2960,16,40,2,5,3
2961,10,27,2,5,4
2962,11,34,1,6,4
2963,13,32,2,5,4
2964,19,42,1,6,4
2965,13,37,2,6,4
2966,16,34,1,6,4
2967,19,35,1,6,4
2968,21,28,2,5,4
2969,23,46,1,5,4
2970,6,16,2,5,4
2971,19,28,2,6,5
2972,13,21,2,6,4
2973,17,31,3,6,3
2974,16,30,1,6,4
2975,11,33,2,6,3
2976,11,26,2,6,3
2977,12,40,1,6,4
2978,21,32,1,5,4
2979,8,18,1,5,3
2980,10,27,2,6,3
2981,13,22,1,6,4
2982,11,19,1,5,4
2983,12,45,3,18,11
2984,11,37,4,20,12
2985,11,39,1,6,3
2986,10,26,2,6,3
2987,13,20,2,6,4
2988,10,41,1,6,3
2989,11,22,2,6,4
2990,18,31,3,6,3
2991,20,26,1,5,4
2992,16,24,2,6,4
2993,19,35,2,5,3
2994,20,38,2,7,4
2995,19,41,2,7,4
2996,9,26,6,24,15
2997,12,34,2,6,4
2998,18,44,2,7,4
2999,16,21,2,6,5
3000,14,20,2,6,5
3001,10,28,6,22,12
3002,8,24,7,30,16
3003,7,22,7,31,19
3004,10,24,7,23,14
3005,9,26,6,24,14
3006,20,37,2,7,5
3007,19,40,4,11,7
3008,21,45,2,8,6
3009,13,23,1,6,4
3010,13,24,1,6,4
3011,19,44,2,7,4
3012,22,33,4,7,5
3013,10,29,2,6,3
3014,15,28,7,14,8
3015,16,30,6,13,8
3016,19,39,1,6,4
3017,20,42,1,6,4
3018,11,41,1,6,3
3019,15,29,6,14,9
3020,11,21,8,21,15
3021,10,20,9,23,15
3022,10,22,8,22,14
3023,18,30,3,6,5
3024,11,25,7,21,12
3025,7,18,9,33,19
3026,6,16,10,40,24
3027,6,16,10,40,25
3028,6,18,9,35,22
3029,8,23,7,27,17
3030,14,27,6,16,11
3031,21,35,5,9,5
3032,15,32,7,14,6
3033,9,24,8,25,12
3034,6,17,10,40,19
3035,5,16,10,48,25
3036,7,20,8,33,19
3037,20,39,3,7,4
3038,14,22,2,6,4
3039,12,26,8,19,9
3040,8,21,9,29,13
3041,6,17,11,36,18
3042,5,16,11,41,20
3043,6,19,9,38,18
3044,8,21,8,28,16
3045,16,28,3,6,4
3046,22,30,5,8,5
3047,22,31,6,9,5
3048,18,31,7,12,6
3049,13,28,8,17,7
3050,11,26,9,20,8
3051,11,23,10,21,9
3052,10,23,9,22,10
3053,11,22,9,21,11
3054,12,27,7,18,10
3055,22,31,5,8,5
3056,21,30,6,9,5
3057,16,28,8,13,6
3058,18,28,8,12,6
3059,23,32,5,8,5
3060,22,32,6,9,5
3061,22,36,5,9,5
3062,22,36,4,8,5
3063,24,30,4,6,4
3064,21,33,4,7,5
3065,14,22,1,6,4
3066,20,33,2,7,5
3067,23,39,2,6,4
3068,14,26,3,6,4
3069,5,11,2,4,4
3070,20,30,2,6,4
3071,10,28,2,6,3
3072,10,30,2,6,3
3073,11,31,1,6,4
3074,18,28,2,6,5
3075,11,28,1,6,4
3076,21,26,2,6,5
3077,10,22,2,6,4
3078,11,37,1,6,3
3079,10,26,2,5,4
3080,11,27,1,6,4
3081,20,46,1,6,4
3082,10,39,1,6,3
3083,15,25,3,5,4
3084,16,30,3,6,4
3085,21,30,2,6,5
3086,18,26,2,6,5
3087,20,38,2,7,5
3088,19,43,1,6,4
3089,11,30,2,6,4
3090,21,35,2,7,5
3091,7,18,2,4,3
3092,10,35,1,6,4
3093,14,30,6,16,9
3094,14,30,6,15,9
3095,19,37,2,7,5
3096,13,37,2,5,3
3097,13,32,6,17,8
3098,10,25,7,23,12
3099,9,23,7,26,15
3100,14,31,5,16,11
3101,11,32,1,6,4
3102,11,29,2,6,4
3103,6,21,2,5,3
3104,8,24,7,28,14
3105,7,21,8,33,17
3106,6,21,8,35,17
3107,6,21,8,35,18
3108,11,27,6,20,12
3109,17,34,6,12,6
3110,11,28,7,20,9
3111,9,23,8,24,12
3112,8,24,8,28,12
3113,9,26,7,26,12
3114,10,40,1,6,3
3115,14,30,7,15,7
3116,11,34,2,6,4
3117,21,36,5,9,4
3118,19,37,5,10,5
3119,19,38,5,10,5
3120,20,27,2,6,5
3121,7,12,1,5,4
3122,10,35,1,6,3
3123,21,38,4,8,4
3124,23,45,3,7,4
3125,23,30,4,6,4
3126,10,31,1,6,4
3127,21,42,3,10,8
3128,23,39,3,9,8
3129,20,28,2,6,5
3130,17,42,3,13,10
3131,15,34,4,15,12
3132,14,34,4,16,13
3133,15,33,4,15,12
3134,19,43,2,7,5
3135,22,31,2,7,6
3136,12,36,4,18,12
3137,11,34,4,21,15
3138,10,34,4,23,15
3139,11,33,4,20,15
3140,16,20,2,6,5
3141,10,25,2,6,3
3142,11,29,1,6,4
3143,10,37,1,6,3
3144,23,40,3,8,6
3145,10,29,2,5,3
3146,11,25,2,6,3
3147,9,12,1,4,4
3148,11,36,2,6,3
3149,10,34,1,6,4
3150,10,23,2,6,4
3151,11,21,2,6,4
3152,10,38,1,6,3
3153,19,44,2,7,5
3154,21,34,2,6,5
3155,19,39,2,7,5
3156,11,36,1,6,3
3157,10,43,1,6,3
3158,17,25,2,6,5
3159,22,36,2,7,5
3160,16,30,1,5,3
3161,19,33,2,6,5
3162,19,30,2,6,5
3163,15,19,2,5,4
3164,10,32,1,6,4
3165,12,35,2,6,4
3166,6,12,1,4,3
3167,21,41,3,10,8
3168,10,24,2,6,4
3169,15,43,3,15,11
3170,14,34,4,16,12
3171,10,33,1,6,4
3172,17,45,3,13,9
3173,12,35,4,19,13
3174,13,43,3,17,12
3175,19,45,3,10,6
3176,18,27,2,6,5
3177,18,45,1,5,4
3178,19,38,2,7,5
3179,21,37,1,5,4
3180,21,38,3,9,7
3181,22,45,2,8,6
3182,19,41,3,11,8
3183,19,44,3,10,6
3184,21,31,2,6,5
3185,15,27,3,6,4
3186,21,35,3,6,5
3187,20,42,2,6,5
3188,11,31,2,6,4
3189,21,34,3,6,5
3190,24,40,2,7,5
3191,15,35,4,15,10
3192,16,35,4,13,9
3193,23,45,2,8,6
3194,20,40,1,6,4
3195,19,38,4,10,7
3196,10,34,4,22,15
3197,12,32,5,18,11
3198,10,31,5,22,12
3199,9,29,5,25,15
3200,9,29,5,26,16
3201,11,36,4,21,13
3202,19,39,2,6,5
3203,19,29,2,6,5
3204,10,28,6,23,12
3205,8,27,6,27,14
3206,9,31,5,24,13
3207,19,32,2,6,5
3208,22,38,3,8,6
3209,18,43,2,5,3
3210,14,31,6,16,8
3211,10,28,6,22,11
3212,12,33,5,18,9
3213,21,32,4,7,4
3214,16,35,5,13,7
3215,18,40,4,11,7
3216,10,25,2,6,4
3217,22,34,5,8,4
3218,12,37,2,6,3
3219,10,21,2,6,4
3220,22,26,4,6,4
3221,11,34,4,20,14
3222,10,35,4,22,14
3223,10,34,4,23,16
3224,18,41,2,7,4
3225,13,21,3,5,4
3226,17,32,1,6,4
3227,10,30,1,6,4
3228,18,23,2,5,4
3229,10,26,2,6,4
3230,21,35,1,6,4
3231,18,26,2,6,4
3232,10,24,2,6,3
3233,22,30,2,6,5
3234,6,17,2,5,4
3235,13,29,2,6,3
3236,21,45,2,8,5
3237,22,37,2,7,5
3238,20,32,2,7,5
3239,19,40,2,7,5
3240,14,28,3,6,4
3241,10,29,1,6,4
3242,20,44,3,8,5
3243,18,37,2,7,4
3244,24,44,2,7,5
3245,20,38,3,7,4
3246,9,24,2,6,3
3247,10,31,2,6,3
3248,10,36,1,6,3
3249,14,33,6,16,7
3250,10,27,7,23,10
3251,8,23,8,27,13
3252,7,25,7,30,13
3253,8,25,7,28,13
3254,9,28,6,25,12
3255,20,38,1,6,4
3256,11,29,7,20,8
3257,10,28,7,22,9
3258,11,31,6,21,9
3259,11,30,6,20,9
3260,14,34,5,15,8
3261,19,36,3,7,5
3262,16,25,1,6,4
3263,5,14,2,4,3
3264,22,30,4,7,4
3265,22,32,5,8,4
3266,21,35,5,9,4
3267,20,34,5,9,5
3268,21,28,4,7,4
3269,24,30,4,7,4
3270,23,31,4,7,4
3271,20,46,2,6,3
3272,21,33,3,6,4
3273,18,31,2,6,5
3274,18,32,2,6,5
3275,13,27,3,6,4
3276,16,29,3,6,3
3277,10,27,1,6,4
3278,18,30,2,6,5
3279,11,32,2,6,4
3280,16,30,5,13,10
3281,20,37,4,9,6
3282,9,29,5,24,15
3283,12,30,5,19,13
3284,10,28,1,6,4
3285,19,37,3,7,5
3286,17,31,5,12,9
3287,8,26,6,27,15
3288,9,26,6,26,15
3289,20,42,2,7,4
3290,11,25,6,20,15
3291,9,25,6,24,17
3292,10,25,6,23,15
3293,23,39,3,7,6
3294,7,22,7,33,20
3295,6,22,7,35,21
3296,7,22,7,32,20
3297,12,32,5,18,10
3298,19,41,4,10,6
3299,9,25,6,25,16
3300,7,26,6,30,16
3301,8,26,6,29,17
3302,10,32,5,22,11
3303,15,23,2,6,4
3304,19,42,4,10,5
3305,19,27,2,6,5
3306,21,39,4,8,4
3307,19,35,3,6,3
3308,20,36,4,8,5
3309,21,46,3,9,5
3310,9,25,2,6,3
3311,19,35,3,7,5
3312,9,27,2,6,3
3313,11,20,2,6,4
3314,24,45,2,7,6
3315,12,28,1,6,4
3316,10,20,2,6,4
3317,7,11,1,5,4
3318,11,35,2,6,4
3319,22,44,2,7,4
3320,5,14,2,5,4
3321,9,39,1,6,3
3322,20,34,1,5,4
3323,8,13,1,5,4
3324,8,24,7,27,15
3325,8,23,7,29,17
3326,8,26,6,28,16
3327,12,32,6,18,8
3328,7,24,7,31,15
3329,7,24,7,33,16
3330,7,24,7,31,16
3331,7,26,6,30,15
3332,10,32,5,23,12
3333,16,33,6,13,7
3334,12,31,6,19,9
3335,10,26,7,23,11
3336,11,30,6,21,10
3337,12,34,5,18,9
3338,22,32,4,7,4
3339,16,34,6,13,6
3340,16,32,7,13,6
3341,19,27,2,5,5
3342,13,19,2,6,4
3343,14,26,1,6,4
3344,16,30,3,6,3
3345,20,29,3,5,4
3346,17,39,2,5,4
3347,13,21,1,6,4
3348,24,41,3,7,6
3349,9,30,1,6,4
3350,16,36,4,13,10
3351,16,33,4,14,12
3352,11,29,5,20,14
3353,9,25,6,26,18
3354,8,28,5,27,19
3355,10,33,4,22,17
3356,12,34,4,18,13
3357,9,25,6,26,16
3358,8,30,5,27,15
3359,8,29,5,29,18
3360,7,25,6,32,18
3361,8,29,5,28,16
3362,14,37,4,15,10
3363,15,36,4,15,11
3364,11,33,2,6,4
3365,15,22,2,6,4
3366,7,19,2,4,3
3367,17,42,2,5,3
3368,13,40,4,17,8
3369,10,27,2,6,4
3370,14,25,1,6,4
3371,18,34,3,6,3
3372,19,34,2,6,5
3373,15,43,2,6,3
3374,19,35,2,6,5
3375,19,40,2,6,5
3376,19,34,3,7,5
3377,20,35,3,7,5
3378,23,38,3,7,6
3379,19,31,1,5,4
3380,19,36,4,10,7
3381,17,32,5,12,9
3382,15,28,6,14,10
3383,14,27,6,15,11
3384,15,27,6,14,11
3385,15,32,5,14,10
3386,18,37,3,7,4
3387,11,23,7,21,15
3388,9,22,7,25,19
3389,8,22,7,27,20
3390,9,21,7,26,20
3391,11,24,6,21,16
3392,15,29,5,15,12
3393,10,23,2,6,3
3394,17,34,5,12,8
3395,11,27,6,21,13
3396,7,19,8,34,21
3397,5,16,9,44,29
3398,5,17,9,48,31
3399,5,16,9,45,32
3400,5,16,9,42,31
3401,7,21,7,34,25
3402,9,26,2,6,3
3403,19,40,2,7,4
3404,10,25,7,22,12
3405,6,18,9,38,21
3406,5,16,9,49,33
3407,6,18,8,40,27
3408,9,24,6,26,19
3409,9,23,2,6,3
3410,8,18,9,30,19
3411,6,17,9,37,23
3412,6,17,9,38,23
3413,7,17,9,34,23
3414,8,22,7,28,20
3415,17,36,4,12,9
3416,22,38,3,8,7
3417,22,37,3,7,5
3418,15,38,4,14,8
3419,9,21,2,6,4
3420,20,40,2,7,4
3421,18,38,2,7,4
3422,22,36,4,9,7
3423,16,24,2,6,5
3424,17,26,2,6,5
3425,12,23,1,6,4
3426,20,31,6,10,6
3427,9,20,2,6,4
3428,21,36,4,8,5
3429,22,31,5,8,6
3430,17,29,3,6,5
3431,9,36,1,6,3
3432,10,28,2,6,4
3433,22,33,3,6,5
3434,19,31,3,6,5
3435,8,11,1,4,4
3436,17,25,2,5,5
3437,19,45,1,5,3
3438,18,43,2,7,4
3439,9,35,1,6,3
3440,17,33,2,6,5
3441,10,14,2,5,4
3442,21,43,2,7,4
3443,18,42,2,7,4
3444,19,41,1,5,3
3445,13,21,2,4,4
3446,9,31,1,6,3
3447,15,32,5,15,10
3448,18,30,6,12,8
3449,12,24,7,18,13
3450,9,19,8,24,19
3451,8,17,9,29,24
3452,8,19,8,30,25
3453,7,19,8,31,23
3454,8,21,7,29,22
3455,9,22,2,6,4
3456,9,29,1,6,4
3457,9,32,1,6,4
3458,13,26,7,17,11
3459,7,18,9,32,20
3460,5,15,10,48,33
3461,6,20,7,36,27
3462,10,25,6,22,17
3463,11,24,8,21,11
3464,6,17,10,40,22
3465,6,18,8,40,30
3466,7,18,10,31,18
3467,5,15,11,43,26
3468,5,14,11,49,31
3469,5,15,10,49,33
3470,6,16,9,40,30
3471,8,21,7,30,22
3472,10,25,1,6,4
3473,10,21,9,22,13
3474,10,19,10,23,14
3475,10,20,9,22,14
3476,10,21,8,23,15
3477,11,23,7,20,14
3478,18,29,7,12,7
3479,18,30,7,12,7
3480,21,31,6,9,6
3481,21,38,5,9,5
3482,19,36,2,7,5
3483,17,27,2,6,5
3484,16,42,4,13,6
3485,12,41,1,6,4
3486,9,24,2,5,4
3487,18,34,2,6,5
3488,18,38,3,7,4
3489,18,33,2,6,5
3490,21,39,3,8,6
3491,18,29,2,6,5
3492,23,44,2,7,6
3493,14,24,1,5,4
3494,12,20,1,5,4
3495,17,23,1,5,4
3496,23,39,3,8,6
3497,20,41,3,8,5
3498,16,44,3,13,8
3499,15,42,3,15,11
3500,18,40,3,12,9
3501,21,39,3,9,7
3502,12,38,2,6,3
3503,19,37,3,7,4
3504,12,45,3,19,11
3505,23,37,3,8,7
3506,24,43,2,7,5
3507,13,39,1,6,3
3508,13,38,2,6,4
3509,10,32,5,22,12
3510,11,38,4,20,10
3511,18,40,2,7,4
3512,15,35,5,14,8
3513,20,30,3,6,5
3514,16,23,1,6,4
3515,12,27,1,6,4
3516,16,31,2,6,5
3517,21,40,4,9,5
3518,10,26,1,6,4
3519,15,36,4,14,9
3520,15,44,3,14,10
3521,15,28,3,6,3
3522,22,34,3,6,4
3523,12,36,4,19,11
3524,15,23,3,5,4
3525,11,28,2,5,4
3526,9,12,2,5,4
3527,9,22,2,6,3
3528,10,19,2,6,4
3529,12,19,2,6,5
3530,12,21,1,5,4
3531,9,23,2,6,4
3532,19,41,1,6,4
3533,9,28,2,6,3
3534,15,26,3,5,3
3535,9,27,1,6,4
3536,9,32,1,6,3
3537,19,45,2,7,5
3538,14,43,1,6,4
3539,9,19,2,6,4
3540,9,34,1,6,3
3541,9,24,2,6,4
3542,9,28,1,6,4
3543,21,35,3,7,5
3544,17,44,2,7,4
3545,18,43,3,11,7
3546,9,28,6,24,13
3547,8,27,6,28,14
3548,8,26,6,28,15
3549,17,45,3,12,7
3550,11,29,6,21,10
3551,9,28,6,25,13
3552,15,32,5,14,9
3553,19,31,3,6,4
3554,13,26,3,6,4
3555,12,37,2,6,4
3556,21,31,4,7,4
3557,12,36,2,6,4
3558,20,37,3,7,4
3559,15,29,1,6,4
3560,9,31,1,6,4
3561,18,41,1,6,4
3562,20,44,3,10,6
3563,14,40,1,6,3
3564,13,18,1,6,4
3565,11,26,1,6,4
3566,18,46,2,7,4
3567,14,25,1,5,4
3568,13,36,4,17,10
3569,16,42,3,13,9
3570,13,20,1,6,4
3571,16,25,2,6,5
3572,18,41,2,7,5
3573,20,41,3,9,6
3574,11,17,2,6,5
3575,16,23,2,6,5
3576,14,41,2,6,3
3577,21,35,4,8,5
3578,22,32,4,7,5
3579,7,20,2,5,4
3580,16,31,6,13,8
3581,22,40,1,5,4
3582,9,24,7,24,13
3583,16,20,2,5,4
3584,10,29,6,23,11
3585,7,24,7,30,15
3586,8,24,7,29,15
3587,12,29,7,18,8
3588,10,27,7,22,10
3589,9,26,7,24,11
3590,10,29,6,22,11
3591,21,36,4,8,4
3592,19,36,6,11,5
3593,15,32,6,14,7
3594,21,33,5,9,5
3595,22,27,4,6,4
3596,21,29,4,7,4
3597,14,22,2,5,5
3598,13,25,3,6,4
3599,19,36,3,7,4
3600,22,46,2,8,5
3601,12,23,3,6,4
3602,12,24,3,6,4
3603,12,20,3,5,4
3604,16,28,1,6,4
3605,20,34,3,7,5
3606,21,31,3,6,5
3607,13,41,4,17,8
3608,14,23,1,6,4
3609,16,39,2,5,4
3610,9,25,1,6,4
3611,20,46,3,9,6
3612,9,33,1,6,3
3613,5,24,1,5,3
3614,19,33,2,7,5
3615,10,19,3,5,4
3616,13,35,2,5,4
3617,18,41,2,6,3
3618,18,34,2,7,5
3619,9,38,1,6,3
3620,19,32,2,7,5
3621,18,35,2,7,5
3622,21,44,2,6,5
3623,17,45,2,7,4
3624,18,36,3,7,4
3625,18,31,5,12,9
3626,16,33,5,13,8
3627,18,37,4,11,8
3628,22,28,4,6,4
3629,20,29,4,7,4
3630,9,25,2,6,4
3631,10,25,6,23,16
3632,9,22,7,25,17
3633,10,30,2,6,4
3634,20,38,4,8,4
3635,13,35,1,6,3
3636,23,38,2,7,5
3637,6,22,7,35,22
3638,6,19,8,38,24
3639,7,22,7,34,21
3640,19,43,3,10,7
3641,10,26,6,22,15
3642,8,22,7,30,18
3643,6,19,8,37,23
3644,7,21,7,33,22
3645,14,30,5,16,11
3646,11,27,6,20,13
3647,23,40,3,7,6
3648,5,16,2,5,4
3649,12,25,3,6,4
3650,10,26,7,22,11
3651,8,22,8,29,14
3652,8,25,7,27,13
3653,20,35,5,9,5
3654,9,25,7,26,13
3655,7,22,8,30,14
3656,7,24,7,30,14
3657,12,28,7,18,9
3658,12,28,7,19,9
3659,12,29,7,19,8
3660,15,37,4,15,10
3661,9,30,5,24,14
3662,23,30,4,7,4
3663,21,31,6,9,5
3664,18,34,6,11,5
3665,18,35,6,11,5
3666,17,35,6,12,5
3667,22,31,4,7,4
3668,21,37,4,8,4
3669,18,42,2,7,5
3670,10,29,2,6,4
3671,19,35,3,7,4
3672,13,24,3,6,4
3673,24,46,2,7,6
3674,11,18,3,5,4
3675,11,22,3,6,4
3676,9,21,2,6,3
3677,9,26,1,6,4
3678,15,39,1,6,3
3679,14,42,2,6,3
3680,10,18,2,6,4
3681,20,34,4,10,8
3682,20,36,4,10,7
3683,13,28,5,17,13
3684,16,34,4,14,11
3685,9,29,5,24,16
3686,8,28,5,28,19
3687,9,30,2,6,3
3688,22,32,3,6,5
3689,8,22,2,6,3
3690,17,41,2,7,4
3691,17,29,2,6,5
3692,23,36,2,6,4
3693,17,45,1,6,4
3694,19,41,2,6,5
3695,16,32,2,6,5
3696,9,29,2,6,3
3697,17,27,3,6,5
3698,18,34,3,7,5
3699,16,28,2,6,5
3700,17,36,2,6,5
3701,19,37,2,6,5
3702,13,19,2,6,5
3703,11,25,1,6,4
3704,9,27,2,5,3
3705,10,23,1,6,4
3706,19,33,5,10,7
3707,24,44,2,7,6
3708,21,27,2,6,5
3709,20,39,4,9,5
3710,14,28,6,15,10
3711,20,37,4,8,4
3712,8,20,8,28,20
3713,8,22,7,27,19
3714,9,18,2,6,4
3715,7,20,8,33,20
3716,5,17,9,43,27
3717,5,17,9,44,28
3718,5,19,8,44,27
3719,6,21,7,39,25
3720,8,24,6,30,21
3721,8,21,8,29,16
3722,5,18,9,42,22
3723,5,18,9,44,24
3724,5,19,8,45,26
3725,10,23,8,22,12
3726,9,22,8,24,14
3727,21,31,4,7,5
3728,14,27,2,6,5
3729,20,34,3,6,5
3730,16,23,2,6,4
3731,23,39,2,7,6
3732,21,35,3,8,6
3733,21,36,3,8,6
3734,24,37,2,7,6
3735,24,41,2,7,6
3736,20,39,3,10,8
3737,19,40,3,11,8
3738,21,43,2,8,6
3739,17,39,2,7,4
3740,17,46,2,7,4
3741,20,45,2,8,5
3742,15,38,2,5,4
3743,9,26,2,6,4
3744,14,23,3,5,4
3745,12,30,5,19,12
3746,16,29,2,6,5
3747,8,26,6,27,16
3748,7,25,6,31,18
3749,7,25,6,30,18
3750,19,29,2,7,5
3751,14,34,5,16,9
3752,9,23,7,26,16
3753,8,23,7,28,16
3754,21,41,2,7,4
3755,14,36,5,15,7
3756,16,45,2,6,3
3757,12,30,6,19,9
3758,11,31,6,20,9
3759,16,17,2,6,5
3760,18,46,3,11,6
3761,13,16,2,5,5
3762,16,22,2,6,5
3763,18,37,1,6,4
3764,17,28,3,5,4
3765,13,34,2,5,4
3766,19,26,2,6,5
3767,11,24,1,6,4
3768,18,36,2,7,4
3769,17,38,4,12,7
3770,12,18,2,6,5
3771,13,18,2,6,5
3772,11,15,1,4,4
3773,18,43,2,7,5
3774,15,42,4,14,7
3775,18,41,4,12,7
3776,13,33,2,5,4
3777,13,40,4,16,8
3778,10,24,1,6,4
3779,17,41,5,12,5
3780,19,43,4,11,6
3781,21,42,4,8,4
3782,22,43,3,7,5
3783,9,24,1,6,4
3784,21,40,2,7,4
3785,11,28,6,21,11
3786,23,42,4,8,4
3787,23,36,5,8,4
3788,14,29,7,15,8
3789,11,24,8,20,11
3790,9,20,9,24,14
3791,9,20,9,26,15
3792,11,22,8,20,13
3793,22,35,3,6,3
3794,20,33,6,10,5
3795,24,33,3,5,4
3796,10,23,8,23,12
3797,7,17,11,32,17
3798,5,16,11,43,21
3799,5,14,12,44,24
3800,5,16,11,44,22
3801,6,17,10,39,19
3802,8,22,8,27,15
3803,16,26,7,14,10
3804,18,42,3,12,8
3805,21,33,7,10,5
3806,7,19,10,33,14
3807,5,15,12,46,20
3808,5,16,11,44,21
3809,7,18,10,34,16
3810,11,25,8,21,10
3811,7,21,9,30,14
3812,6,20,9,36,17
3813,6,19,9,36,18
3814,7,21,8,34,18
3815,20,33,3,6,3
3816,24,34,5,8,5
3817,18,32,7,12,6
3818,12,24,9,18,9
3819,8,21,10,27,11
3820,7,18,11,32,14
3821,7,18,11,34,15
3822,7,18,10,33,16
3823,9,21,9,26,13
3824,12,25,8,18,10
3825,24,42,4,8,5
3826,10,25,8,22,10
3827,7,21,9,31,14
3828,6,20,9,37,17
3829,6,19,9,39,19
3830,21,31,7,10,5
3831,15,27,9,15,7
3832,15,25,9,15,8
3833,14,27,8,16,8
3834,21,38,3,8,6
3835,20,35,6,10,5
3836,14,30,7,16,7
3837,9,21,10,25,12
3838,9,22,9,26,12
3839,23,32,3,5,4
3840,23,31,7,9,5
3841,22,33,6,9,5
3842,20,46,2,8,5
3843,15,29,8,14,6
3844,14,28,8,15,7
3845,15,30,8,14,6
3846,22,36,3,6,3
3847,23,37,5,8,4
3848,12,25,1,6,4
3849,24,29,4,6,4
3850,23,30,5,8,5
3851,22,28,6,9,5
3852,22,30,6,9,5
3853,20,31,6,10,5
3854,20,31,3,5,3
3855,18,27,3,5,4
3856,18,38,1,6,4
3857,18,40,2,7,5
3858,14,20,2,5,4
3859,22,44,1,5,4
3860,18,46,1,6,4
3861,8,23,2,6,3
3862,11,19,2,6,4
3863,23,37,2,7,5
3864,17,32,2,6,5
3865,21,44,1,6,4
3866,19,35,2,7,5
3867,19,24,2,6,5
3868,17,24,2,6,4
3869,18,39,2,7,4
3870,15,41,1,6,3
3871,17,38,1,6,4
3872,17,28,2,6,5
3873,9,37,1,6,3
3874,17,43,2,7,4
3875,11,18,2,6,5
3876,14,20,1,6,4
3877,21,44,2,8,6
3878,22,44,2,8,6
3879,14,22,2,6,5
3880,8,37,1,5,3
3881,6,12,2,4,4
3882,17,36,2,7,4
3883,19,36,2,7,4
3884,19,34,2,7,4
3885,17,38,2,7,4
3886,17,42,2,7,4
3887,19,38,1,6,4
3888,16,27,3,6,5
3889,12,21,2,6,5
3890,14,20,2,6,4
3891,21,41,2,8,5
3892,21,42,3,8,6
3893,14,29,5,16,12
3894,12,28,5,19,15
3895,10,26,6,23,15
3896,8,21,7,29,21
3897,8,24,6,28,21
3898,9,24,6,25,18
3899,12,38,2,6,4
3900,7,23,7,32,18
3901,7,22,7,34,19
3902,7,22,7,34,20
3903,17,35,1,6,4
3904,17,34,5,12,7
3905,11,28,6,21,12
3906,10,24,7,23,13
3907,22,36,5,9,6
3908,18,37,2,6,5
3909,22,42,3,6,3
3910,15,40,4,14,7
3911,11,21,2,6,5
3912,17,24,2,6,5
3913,18,37,1,5,3
3914,21,28,2,6,5
3915,20,34,2,7,5
3916,11,24,1,5,3
3917,20,39,1,6,4
3918,19,34,2,7,5
3919,17,31,2,6,5
3920,17,23,2,6,4
3921,13,22,2,6,5
3922,24,32,5,8,7
3923,23,34,5,8,6
3924,21,29,6,10,8
3925,23,38,3,7,5
3926,16,26,2,6,5
3927,17,36,3,7,4
3928,15,21,2,6,4
3929,23,32,5,8,6
3930,21,31,6,10,7
3931,15,24,8,15,10
3932,11,18,10,20,16
3933,9,16,11,24,19
3934,10,16,11,22,20
3935,10,17,10,22,17
3936,22,30,6,9,7
3937,14,23,8,16,11
3938,9,15,11,26,21
3939,5,12,13,43,32
3940,7,14,12,34,27
3941,10,17,10,23,17
3942,15,25,7,14,11
3943,11,29,6,21,11
3944,14,25,2,6,5
3945,10,22,9,22,12
3946,5,13,13,48,30
3947,6,12,13,35,34
3948,12,20,9,19,15
3949,18,28,6,12,10
3950,9,26,7,25,11
3951,8,26,7,27,12
3952,8,26,7,28,12
3953,8,28,1,6,4
3954,22,29,2,5,4
3955,13,23,9,17,10
3956,6,14,12,38,23
3957,10,19,9,22,17
3958,23,36,3,7,6
3959,15,27,2,6,5
3960,24,31,2,5,4
3961,21,28,7,10,7
3962,12,18,11,19,14
3963,8,12,15,28,23
3964,6,12,14,37,27
3965,11,18,10,21,16
3966,20,33,5,10,8
3967,24,31,2,5,5
3968,20,39,5,10,5
3969,17,36,6,12,5
3970,18,34,6,12,6
3971,16,35,6,13,6
3972,18,35,3,7,5
3973,15,22,10,14,9
3974,11,17,12,20,14
3975,9,15,14,24,15
3976,7,13,15,31,19
3977,7,13,14,31,21
3978,8,15,13,29,18
3979,10,18,11,23,14
3980,13,22,9,17,11
3981,18,27,7,12,9
3982,18,28,3,6,5
3983,22,29,7,9,6
3984,18,24,9,12,8
3985,16,22,10,14,9
3986,15,21,10,15,10
3987,15,23,9,15,10
3988,16,24,8,14,10
3989,10,28,6,23,11
3990,20,41,3,8,6
3991,22,28,7,9,7
3992,24,42,3,7,6
3993,18,29,3,5,3
3994,20,35,4,8,5
3995,15,30,6,14,8
3996,19,33,3,7,5
3997,20,26,4,6,4
3998,22,31,4,7,5
3999,20,40,3,8,5
4000,15,24,2,6,5
4001,14,45,3,15,9
4002,18,40,4,12,7
4003,18,36,2,6,5
4004,14,26,6,16,13
4005,23,35,3,7,6
4006,8,24,6,29,20
4007,8,24,6,29,21
4008,8,24,6,27,20
4009,19,42,3,10,7
4010,6,21,7,38,23
4011,6,21,7,39,23
4012,6,25,6,35,20
4013,19,43,3,11,7
4014,9,23,7,25,16
4015,8,23,7,28,17
4016,20,40,3,9,6
4017,17,37,2,6,5
4018,14,21,2,6,5
4019,16,22,2,5,5
4020,17,23,2,6,5
4021,8,21,2,6,3
4022,9,27,2,6,4
