gM,rbM,rI,gI,bI
3.3260869565217392,2.6038277511961723,55,46,95
3.5185185185185186,3.263608870967742,32,27,62
3.5,3.551839464882943,23,24,26
3.566666666666667,3.5525641025641024,26,30,30
3.5555555555555554,3.5833333333333335,30,36,35
3.3636363636363638,3.491911764705882,34,44,40
3.156862745098039,3.4318181818181817,38,51,44
2.9655172413793105,3.325834175935288,43,58,46
2.9655172413793105,3.3448616600790517,46,58,44
3.18,3.3935599284436497,43,50,39
3.5,3.55,25,22,24
3.5,3.582983193277311,28,22,34
3.6,3.1326378539493294,44,35,61
2.757575757575758,2.41734693877551,70,66,98
2.6027397260273974,2.2306064073226546,76,73,115
3.6,2.9325275397796817,43,35,76
3.5,3.466666666666667,25,22,45
3.5185185185185186,3.553571428571429,24,27,28
3.5,3.561111111111111,30,38,36
3.3636363636363638,3.4867288378766137,34,44,41
3.1153846153846154,3.4130434782608696,38,52,46
2.9655172413793105,3.3050595238095237,42,58,48
2.9166666666666665,3.3448616600790517,44,60,46
3.156862745098039,3.40297619047619,42,51,40
3.5652173913043477,3.569230769230769,26,23,25
3.5384615384615383,3.4408212560386473,36,26,46
3.2291666666666665,2.6547619047619047,60,48,84
2.1414141414141414,2.0124223602484475,92,99,126
2.303370786516854,2.0738165407994105,89,89,122
3.425,2.8095121951219513,50,40,82
3.5,3.4158163265306123,28,24,49
3.5,3.5,22,22,24
3.4146341463414633,3.540625,32,41,40
3.276595744680851,3.481818181818182,35,47,44
3.156862745098039,3.416666666666667,38,51,45
3.18,3.3935599284436497,39,50,43
3.380952380952381,3.4864864864864864,37,42,37
3.4285714285714284,3.532608695652174,24,21,23
3.566666666666667,3.199675324675325,44,30,56
2.8125,2.350389470856836,73,64,102
2.239130434782609,2.0574879665788757,91,92,121
3.4146341463414633,2.8159313725490196,51,41,80
3.5,3.407686781609195,29,24,48
3.5757575757575757,3.575682382133995,26,33,31
3.5555555555555554,3.582983193277311,28,36,34
3.5,3.5265765765765766,30,38,37
3.380952380952381,3.558894230769231,32,42,39
3.3255813953488373,3.491911764705882,34,43,40
3.4146341463414633,3.5226550079491252,34,41,37
3.5757575757575757,3.047728768926926,49,33,62
2.6027397260273974,2.205998681608438,82,73,111
2.481012658227848,2.2148815482148816,81,79,111
3.4864864864864864,2.9869871402327006,46,37,71
3.5,3.422049956933678,27,22,43
3.6,3.5418679549114334,23,25,27
3.566666666666667,3.5833333333333335,25,30,30
3.5555555555555554,3.5725152129817443,29,36,34
3.5384615384615383,3.5284900284900287,26,26,27
3.5588235294117645,3.0408196721311476,50,34,61
2.6714285714285713,2.2062562175306732,83,70,109
2.9322033898305087,2.479851708575113,66,59,94
3.586206896551724,3.2093449381584973,37,29,59
3.25,3.5603864734299515,23,20,36
3.4285714285714284,3.5,22,21,24
3.586206896551724,3.5833333333333335,25,29,30
3.586206896551724,3.5623342175066313,26,29,29
3.25,3.562830687830688,28,20,27
3.566666666666667,3.18546768366118,47,30,53
2.9166666666666665,2.3644736842105263,76,60,95
2.4390243902439024,2.2518231004469538,78,82,109
3.380952380952381,2.8960286817429672,49,42,74
3.6,3.4463768115942033,30,25,46
3.5,3.55,22,22,25
3.6,3.425,40,25,40
3.4146341463414633,2.75251509054326,63,41,71
2.5675675675675675,2.147098237295124,89,74,109
2.4390243902439024,2.2109513274336283,80,82,113
3.156862745098039,2.7286031042128602,55,51,82
3.4285714285714284,3.55,24,21,35
3.5185185185185186,3.3260869565217392,46,27,46
3.4146341463414633,2.71875,64,41,72
2.857142857142857,2.281550444201047,83,63,99
2.4390243902439024,2.0804347826086955,92,82,115
2.32183908045977,2.042069892473118,93,87,120
2.5454545454545454,2.155804268610099,85,77,113
2.901639344262295,2.411572527951212,71,61,97
3.3255813953488373,2.8198970840480273,53,43,77
3.5652173913043477,3.519230769230769,26,23,38
3.6,3.380952380952381,42,25,42
3.5,2.8233383308345825,58,38,69
3.425,2.7674715579289533,59,40,73
3.4864864864864864,2.898272017837235,52,37,69
3.5384615384615383,3.4177096370463076,34,26,47
3.5,3.547008547008547,26,22,36
3.5,3.5777777777777775,35,22,36
3.5,3.55,35,22,38
3.5,3.571368243243243,32,22,37
3.25,3.5418679549114334,23,20,27
3.25,3.5092592592592595,24,20,27
3.4285714285714284,3.5418679549114334,23,21,27
3.6,3.565710872162485,27,25,31
3.5757575757575757,3.55,35,33,38
3.5588235294117645,3.5085470085470085,36,34,39
3.5384615384615383,3.58098223615465,29,26,33
3.5,3.533333333333333,24,24,30
3.425,3.481818181818182,35,40,44
3.2244897959183674,3.2973170731707317,41,49,50
3.0357142857142856,3.1236742424242423,48,56,55
2.901639344262295,3.0650269541778976,53,61,56
3.0357142857142856,3.1048621190130623,52,56,53
3.380952380952381,3.325834175935288,43,42,46
3.5,3.5833333333333335,25,24,30
3.3255813953488373,3.4145833333333333,35,43,48
3.0,3.1732348111658455,42,57,58
2.6714285714285713,2.991032776747063,49,70,66
2.4390243902439024,2.8125,57,82,72
2.239130434782609,2.676091476091476,65,92,74
2.3488372093023258,2.7328874024526195,65,86,69
2.8125,2.9918495297805645,55,64,58
3.4615384615384617,3.3935599284436497,39,39,43
3.5652173913043477,3.5525641025641024,26,23,30
3.425,3.4545454545454546,33,40,45
3.0943396226415096,3.2398601398601397,39,53,55
2.746268656716418,3.045454545454546,45,67,66
2.475,2.8274291497975708,52,80,76
2.1894736842105265,2.661663045625123,61,95,83
2.0576923076923075,2.5695628997867805,67,104,84
2.1414141414141414,2.6133069828722,69,99,77
2.56,2.886904761904762,60,75,63
3.3636363636363638,3.3010885700148442,43,44,47
3.5,3.543103448275862,24,22,29
3.3636363636363638,3.3939950980392153,34,44,48
3.0357142857142856,3.230769230769231,39,56,57
